,address_type,agency,agency_name,bbl,borough,bridge_highway_direction,bridge_highway_segment,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,latitude,location,location_address,location_city,location_state,location_type,location_zip,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,road_ramp,status,street_name,taxi_company_borough,taxi_pick_up_location,unique_key,vehicle_type,x_coordinate_state_plane,y_coordinate_state_plane
10,,NYPD,New York City Police Department,4100450009,QUEENS,,,JAMAICA,2020-03-19T01:40:03.000,12 QUEENS,Blocked Driveway,2020-03-19T00:03:20.000,PINEGROVE STREET,INWOOD STREET,No Access,,,144-18 106 AVENUE,11435,PINEGROVE STREET,INWOOD STREET,106 AVENUE,40.69163314377746,"{'type': 'Point', 'coordinates': [-73.80698872296006, 40.69163314377746]}",,,,,,-73.80698872296006,PHONE,QUEENS,Unspecified,2020-03-19T05:40:10.000,The Police Department responded and upon arrival those responsible for the condition were gone.,,Closed,106 AVENUE,,,45856409,,1037775,191316
11,,NYPD,New York City Police Department,3045190126,BROOKLYN,,,BROOKLYN,2020-03-19T01:20:29.000,05 BROOKLYN,Blocked Driveway,2020-03-19T00:03:42.000,AMBER STREET,SAPPHIRE STREET,Partial Access,,,1429 STANLEY AVENUE,11208,AMBER STREET,SAPPHIRE STREET,STANLEY AVENUE,40.66702469563999,"{'type': 'Point', 'coordinates': [-73.85666027056774, 40.66702469563999]}",,,,Street/Sidewalk,,-73.85666027056774,PHONE,BROOKLYN,Unspecified,2020-03-19T05:20:30.000,The Police Department issued a summons in response to the complaint.,,Closed,STANLEY AVENUE,,,45850828,,1024015,182324
12,ADDRESS,DOT,Department of Transportation,3001617501,BROOKLYN,,,BROOKLYN,2020-03-19T13:16:00.000,02 BROOKLYN,Street Light Condition,2020-03-19T00:04:00.000,FLATBUSH AVE,LIVINGSTON ST,Street Light Out,,,10 NEVINS STREET,11217,,,,40.68842835592193,"{'type': 'Point', 'coordinates': [-73.98108383591347, 40.68842835592193]}",,,,,,-73.98108383591347,UNKNOWN,BROOKLYN,Unspecified,2020-03-19T13:16:00.000,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,,Closed,NEVINS STREET,,,45853492,,989496,190090
13,,DOT,Department of Transportation,3011730034,BROOKLYN,,,BROOKLYN,,08 BROOKLYN,Curb Condition,2020-03-19T00:04:28.000,UNDERHILL AVENUE,WASHINGTON AVENUE,Broken Curb,,,412 STERLING PLACE,11238,UNDERHILL AVENUE,WASHINGTON AVENUE,STERLING PLACE,40.6748790221221,"{'type': 'Point', 'coordinates': [-73.96463403099112, 40.6748790221221]}",,,,Sidewalk,,-73.96463403099112,ONLINE,BROOKLYN,Unspecified,,,,In Progress,STERLING PLACE,,,45856250,,994060,185155
14,,NYPD,New York City Police Department,2043190025,BRONX,,,BRONX,2020-03-19T09:01:05.000,11 BRONX,Noise - Residential,2020-03-19T00:04:35.000,LYDIG AVENUE,PELHAM PARKWAY SOUTH,Loud Music/Party,,,2198 CRUGER AVENUE,10462,LYDIG AVENUE,PELHAM PARKWAY SOUTH,CRUGER AVENUE,40.85631703985628,"{'type': 'Point', 'coordinates': [-73.86662717636435, 40.85631703985628]}",,,,Residential Building/House,,-73.86662717636435,ONLINE,BRONX,Unspecified,2020-03-19T13:01:13.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,CRUGER AVENUE,,,45851738,,1021145,251285
15,,NYPD,New York City Police Department,5022450019,STATEN ISLAND,,,STATEN ISLAND,2020-03-19T02:25:27.000,02 STATEN ISLAND,Noise - Residential,2020-03-19T00:05:23.000,MC CULLY AVENUE,BOYLE PLACE,Loud Music/Party,,,120 ST GEORGE ROAD,10306,MC CULLY AVENUE,BOYLE PLACE,ST GEORGE ROAD,40.576406570112766,"{'type': 'Point', 'coordinates': [-74.13076920322644, 40.576406570112766]}",,,,Residential Building/House,,-74.13076920322644,PHONE,STATEN ISLAND,Unspecified,2020-03-19T06:25:31.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,ST GEORGE ROAD,,,45853759,,947923,149304
16,,DOHMH,Department of Health and Mental Hygiene,3011790097,BROOKLYN,,,BROOKLYN,,08 BROOKLYN,Smoking,2020-03-19T00:05:41.000,UNDERHILL AVENUE,BEND,Smoking Violation,,,159 EASTERN PARKWAY,11238,UNDERHILL AVENUE,BEND,EASTERN PARKWAY,40.67199121761855,"{'type': 'Point', 'coordinates': [-73.96366943894067, 40.67199121761855]}",,,,Residential Building,,-73.96366943894067,ONLINE,BROOKLYN,Unspecified,2020-03-20T20:31:08.000,The Department of Health and Mental Hygiene has sent official written notification to the Owner/Land,,In Progress,EASTERN PARKWAY,,,45855600,,994328,184103
17,,NYPD,New York City Police Department,5000200049,STATEN ISLAND,,,STATEN ISLAND,2020-03-19T06:08:03.000,01 STATEN ISLAND,Illegal Parking,2020-03-19T00:06:09.000,VINE STREET,WALL STREET,Posted Parking Sign Violation,,,70 BELMONT PLACE,10301,VINE STREET,WALL STREET,BELMONT PLACE,40.643360123540816,"{'type': 'Point', 'coordinates': [-74.0802259003435, 40.643360123540816]}",,,,Street/Sidewalk,,-74.0802259003435,MOBILE,STATEN ISLAND,Unspecified,2020-03-19T10:08:05.000,The Police Department responded to the complaint and determined that police action was not necessary,,Closed,BELMONT PLACE,,,45850994,,961986,173680
18,,NYPD,New York City Police Department,3020970077,BROOKLYN,,,BROOKLYN,2020-03-19T02:33:34.000,02 BROOKLYN,Noise - Residential,2020-03-19T00:07:11.000,DEKALB AVENUE,FULTON STREET,Loud Music/Party,,,86 FT GREENE PLACE,11217,DEKALB AVENUE,FULTON STREET,FT GREENE PLACE,40.68761509668632,"{'type': 'Point', 'coordinates': [-73.97668501225495, 40.68761509668632]}",,,,Residential Building/House,,-73.97668501225495,ONLINE,BROOKLYN,Unspecified,2020-03-19T06:33:38.000,The Police Department responded to the complaint but officers were unable to gain entry into the pre,,Closed,FT GREENE PLACE,,,45854467,,990716,189794
19,,NYPD,New York City Police Department,2028100001,BRONX,,,BRONX,2020-03-19T03:33:14.000,05 BRONX,Noise - Residential,2020-03-19T00:07:39.000,ECHO PLACE,EAST  178 STREET,Banging/Pounding,,,1930 GRAND CONCOURSE,10457,ECHO PLACE,EAST  178 STREET,GRAND CONCOURSE,40.85010570559272,"{'type': 'Point', 'coordinates': [-73.90546036631885, 40.85010570559272]}",,,,Residential Building/House,,-73.90546036631885,PHONE,BRONX,Unspecified,2020-03-19T07:33:19.000,The Police Department responded to the complaint but officers were unable to gain entry into the pre,,Closed,GRAND CONCOURSE,,,45856465,,1010405,249008
20,ADDRESS,DSNY,BCC - Brooklyn South,3054050009,BROOKLYN,,,BROOKLYN,2020-03-20T12:00:00.000,12 BROOKLYN,Missed Collection (All Materials),2020-03-19T00:08:00.000,17 AVENUE,DAHILL ROAD,2R Bulk-Missed Recy Collection,,DSNY Garage,1702 43 STREET,11204,,,,40.63280510841075,"{'type': 'Point', 'coordinates': [-73.97939186531234, 40.63280510841075]}",,,,Sidewalk,,-73.97939186531234,PHONE,BROOKLYN,Unspecified,2020-03-20T12:00:00.000,The Department of Sanitation investigated this complaint and found no condition at the location.,,Closed,43 STREET,,,45862639,,989970,169825
21,,NYPD,New York City Police Department,4016860048,QUEENS,,,EAST ELMHURST,2020-03-19T02:24:22.000,03 QUEENS,Noise - Residential,2020-03-19T00:08:21.000,31 AVENUE,32 AVENUE,Loud Music/Party,,,31-43 100 STREET,11369,31 AVENUE,32 AVENUE,100 STREET,40.76018846025992,"{'type': 'Point', 'coordinates': [-73.86898910312462, 40.76018846025992]}",,,,Residential Building/House,,-73.86898910312462,PHONE,QUEENS,Unspecified,2020-03-19T06:24:30.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,100 STREET,,,45855808,,1020544,216261
22,,NYPD,New York City Police Department,4094120065,QUEENS,,,SOUTH RICHMOND HILL,2020-03-19T03:25:12.000,09 QUEENS,Illegal Parking,2020-03-19T00:09:34.000,95 AVENUE,101 AVENUE,Commercial Overnight Parking,,,97-13 110 STREET,11419,95 AVENUE,101 AVENUE,110 STREET,40.68920835751123,"{'type': 'Point', 'coordinates': [-73.83444006327642, 40.68920835751123]}",,,,Street/Sidewalk,,-73.83444006327642,ONLINE,QUEENS,Unspecified,2020-03-19T07:25:15.000,The Police Department responded to the complaint and determined that police action was not necessary,,Closed,110 STREET,,,45855102,,1030164,190417
23,,NYPD,New York City Police Department,1019170045,MANHATTAN,,,NEW YORK,2020-03-19T03:14:48.000,10 MANHATTAN,Noise - Residential,2020-03-19T00:11:28.000,LENOX AVENUE,ADAM CLAYTON POWELL JR BOULEVARD,Banging/Pounding,,,132 WEST  133 STREET,10030,LENOX AVENUE,ADAM CLAYTON POWELL JR BOULEVARD,WEST  133 STREET,40.81335675335244,"{'type': 'Point', 'coordinates': [-73.94311969334593, 40.81335675335244]}",,,,,,-73.94311969334593,PHONE,MANHATTAN,Unspecified,2020-03-19T07:14:52.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,WEST  133 STREET,,,45855579,,999995,235610
24,,NYPD,New York City Police Department,,MANHATTAN,,,,2020-03-19T00:20:02.000,Unspecified MANHATTAN,Noise - Street/Sidewalk,2020-03-19T00:11:56.000,1 AVENUE,FDR DRIVE EXIT   11 SOUTHBOUND,Loud Talking,,,EAST   53 STREET,10022,1 AVENUE,FDR DRIVE EXIT   11 SOUTHBOUND,,,,,,,Street/Sidewalk,,,PHONE,MANHATTAN,Unspecified,2020-03-19T04:20:05.000,The Police Department responded to the complaint and determined that police action was not necessary,,Closed,EAST   53 STREET,,,45852501,,,
25,ADDRESS,DEP,Department of Environmental Protection,1015240023,MANHATTAN,,,NEW YORK,2020-03-19T06:43:00.000,08 MANHATTAN,Noise,2020-03-19T00:12:00.000,LEXINGTON AVE,3 AVE,Noise: Construction Before/After Hours (NM1),,N/A,176 EAST   96 STREET,10128,,,,40.785429558435055,"{'type': 'Point', 'coordinates': [-73.94991793763847, 40.785429558435055]}",,,,,,-73.94991793763847,ONLINE,MANHATTAN,Unspecified,2020-03-19T06:43:00.000,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,,Closed,EAST   96 STREET,,,45857225,,998119,225434
26,,NYPD,New York City Police Department,1021690042,MANHATTAN,,,NEW YORK,2020-03-19T04:22:18.000,12 MANHATTAN,Noise - Residential,2020-03-19T00:12:25.000,ST NICHOLAS AVENUE,WADSWORTH AVENUE,Banging/Pounding,,,609 WEST  191 STREET,10040,ST NICHOLAS AVENUE,WADSWORTH AVENUE,WEST  191 STREET,40.85567264311442,"{'type': 'Point', 'coordinates': [-73.92941920512644, 40.85567264311442]}",,,,Residential Building/House,,-73.92941920512644,ONLINE,MANHATTAN,Unspecified,2020-03-19T08:22:19.000,The Police Department responded to the complaint but officers were unable to gain entry into the pre,,Closed,WEST  191 STREET,,,45856710,,1003775,251030
27,,DOT,Department of Transportation,3011730034,BROOKLYN,,,BROOKLYN,,08 BROOKLYN,Sidewalk Condition,2020-03-19T00:12:28.000,UNDERHILL AVENUE,WASHINGTON AVENUE,Broken Sidewalk,,,412 STERLING PLACE,11238,UNDERHILL AVENUE,WASHINGTON AVENUE,STERLING PLACE,40.6748790221221,"{'type': 'Point', 'coordinates': [-73.96463403099112, 40.6748790221221]}",,,,Sidewalk,,-73.96463403099112,ONLINE,BROOKLYN,Unspecified,,,,In Progress,STERLING PLACE,,,45853807,,994060,185155
28,,DOT,Department of Transportation,3002550036,BROOKLYN,,,BROOKLYN,2020-03-25T10:11:34.000,02 BROOKLYN,Street Condition,2020-03-19T00:12:35.000,CLINTON STREET,BOROUGH HALL PEDESTRIAN PATH,Cave-in,,,182 REMSEN STREET,11201,CLINTON STREET,BOROUGH HALL PEDESTRIAN PATH,REMSEN STREET,40.693260392970245,"{'type': 'Point', 'coordinates': [-73.99152569444834, 40.693260392970245]}",,,,Street,,-73.99152569444834,ONLINE,BROOKLYN,Unspecified,2020-03-25T14:11:35.000,The Department of Transportation inspected and has requested the Department of Environmental Protect,,Closed,REMSEN STREET,,,45854491,,986600,191850
29,,NYPD,New York City Police Department,3042830050,BROOKLYN,,,BROOKLYN,2020-03-19T01:39:00.000,05 BROOKLYN,Blocked Driveway,2020-03-19T00:12:47.000,CRESCENT STREET,HEMLOCK STREET,No Access,,,1349 DUMONT AVENUE,11208,CRESCENT STREET,HEMLOCK STREET,DUMONT AVENUE,40.67016465508037,"{'type': 'Point', 'coordinates': [-73.86807366581544, 40.67016465508037]}",,,,Street/Sidewalk,,-73.86807366581544,ONLINE,BROOKLYN,Unspecified,2020-03-19T05:39:04.000,The Police Department issued a summons in response to the complaint.,,Closed,DUMONT AVENUE,,,45853636,,1020847,183463
30,,NYPD,New York City Police Department,1004100002,MANHATTAN,,,NEW YORK,2020-03-19T03:03:21.000,03 MANHATTAN,Noise - Residential,2020-03-19T00:13:08.000,DELANCEY STREET,RIVINGTON STREET,Loud Music/Party,,,122 ORCHARD STREET,10002,DELANCEY STREET,RIVINGTON STREET,ORCHARD STREET,40.71951115029191,"{'type': 'Point', 'coordinates': [-73.98950936730553, 40.71951115029191]}",,,,Residential Building/House,,-73.98950936730553,MOBILE,MANHATTAN,Unspecified,2020-03-19T07:03:25.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,ORCHARD STREET,,,45850332,,987158,201414
31,,DCA,Department of Consumer Affairs,1002397501,MANHATTAN,,,NEW YORK,2020-03-23T07:09:46.000,02 MANHATTAN,Consumer Complaint,2020-03-19T00:15:01.000,BOWERY,ELIZABETH STREET,Retail Store,,,157 HESTER STREET,10013,BOWERY,ELIZABETH STREET,HESTER STREET,40.71750239577626,"{'type': 'Point', 'coordinates': [-73.99603186102223, 40.71750239577626]}",,,,,,-73.99603186102223,PHONE,MANHATTAN,Unspecified,2020-03-23T11:09:49.000,The Department of Consumer Affairs has received your report. This request is under investigation. Th,,Closed,HESTER STREET,,,45854201,,985350,200682
32,,NYPD,New York City Police Department,4034410059,QUEENS,,,RIDGEWOOD,2020-03-19T03:30:15.000,05 QUEENS,Blocked Driveway,2020-03-19T00:15:07.000,CYPRESS AVENUE,SENECA AVENUE,No Access,,,1711 LINDEN STREET,11385,CYPRESS AVENUE,SENECA AVENUE,LINDEN STREET,40.702813052642306,"{'type': 'Point', 'coordinates': [-73.91008012847855, 40.702813052642306]}",,,,Street/Sidewalk,,-73.91008012847855,PHONE,QUEENS,Unspecified,2020-03-19T07:30:18.000,The Police Department responded and upon arrival those responsible for the condition were gone.,,Closed,LINDEN STREET,,,45850260,,1009182,195343
33,ADDRESS,DOB,Department of Buildings,2032140005,BRONX,,,BRONX,2020-03-19T00:15:51.000,07 BRONX,Special Projects Inspection Team (SPIT),2020-03-19T00:15:51.000,,,Illegal Hotel Rooms In Residential Building,,N/A,2512 UNIVERSITY AVENUE,10468,,,,40.865685364854315,"{'type': 'Point', 'coordinates': [-73.90303395037606, 40.865685364854315]}",,,,,,-73.90303395037606,UNKNOWN,BRONX,Unspecified,2020-03-19T00:00:00.000,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,,Open,UNIVERSITY AVENUE,,,45860047,,1011070,254685
34,,NYPD,New York City Police Department,2022957501,BRONX,,,BRONX,2020-03-19T03:50:38.000,01 BRONX,Noise - Residential,2020-03-19T00:15:53.000,ALEXANDER AVENUE,WILLIS AVENUE BRIDGE BIKE PATH,Banging/Pounding,,,331 EAST  132 STREET,10454,ALEXANDER AVENUE,WILLIS AVENUE BRIDGE BIKE PATH,EAST  132 STREET,40.80602239216581,"{'type': 'Point', 'coordinates': [-73.92761157251907, 40.80602239216581]}",,,,,,-73.92761157251907,PHONE,BRONX,Unspecified,2020-03-19T07:50:45.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,EAST  132 STREET,,,45850352,,1004290,232941
35,,DCA,Department of Consumer Affairs,3009160035,BROOKLYN,,,BROOKLYN,2020-03-23T07:10:41.000,12 BROOKLYN,Consumer Complaint,2020-03-19T00:16:24.000,39 STREET,40 STREET,Retail Store,,,3902 9 AVENUE,11232,39 STREET,40 STREET,9 AVENUE,40.64585831321053,"{'type': 'Point', 'coordinates': [-73.9952001039609, 40.64585831321053]}",,,,Commercial Building,,-73.9952001039609,ONLINE,BROOKLYN,Unspecified,2020-03-23T11:10:44.000,The Department of Consumer Affairs has received your report. This request is under investigation. Th,,Closed,9 AVENUE,,,45852675,,985582,174580
36,,DOHMH,Department of Health and Mental Hygiene,1019437503,MANHATTAN,,,NEW YORK,,10 MANHATTAN,Rodent,2020-03-19T00:17:20.000,FREDERICK DOUGLASS BOULEVARD,MANHATTAN AVENUE,Mouse Sighting,,,304 WEST  117 STREET,10026,FREDERICK DOUGLASS BOULEVARD,MANHATTAN AVENUE,WEST  117 STREET,40.80521847882785,"{'type': 'Point', 'coordinates': [-73.95518040434344, 40.80521847882785]}",,,,3+ Family Apt. Building,,-73.95518040434344,MOBILE,MANHATTAN,Unspecified,,,,In Progress,WEST  117 STREET,,,45850186,,996658,232643
37,,DOHMH,Department of Health and Mental Hygiene,3027830023,BROOKLYN,,,BROOKLYN,,01 BROOKLYN,Indoor Air Quality,2020-03-19T00:17:21.000,GRAND STREET,POWERS STREET,Ventilation,,,301 HUMBOLDT STREET,11211,GRAND STREET,POWERS STREET,HUMBOLDT STREET,40.71225375221609,"{'type': 'Point', 'coordinates': [-73.94231501256023, 40.71225375221609]}",,,,3+ Family Apartment Building,,-73.94231501256023,ONLINE,BROOKLYN,Unspecified,,,,In Progress,HUMBOLDT STREET,,,45856145,,1000242,198775
38,,NYPD,New York City Police Department,,BROOKLYN,,,BROOKLYN,2020-03-19T02:46:17.000,16 BROOKLYN,Noise - Residential,2020-03-19T00:17:53.000,EAST NEW YORK AVENUE,SUTTER AVENUE,Loud Music/Party,,,2059 UNION STREET,11212,EAST NEW YORK AVENUE,SUTTER AVENUE,UNION STREET,40.666085372923924,"{'type': 'Point', 'coordinates': [-73.92150582128613, 40.666085372923924]}",,,,Residential Building/House,,-73.92150582128613,ONLINE,BROOKLYN,Unspecified,2020-03-19T06:46:20.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,UNION STREET,,,45851729,,1006026,181959
39,,NYPD,New York City Police Department,4019960061,QUEENS,,,CORONA,2020-03-19T03:36:37.000,04 QUEENS,Noise - Residential,2020-03-19T00:17:55.000,108 STREET,111 STREET,Loud Music/Party,,,108-57 41 AVENUE,11368,108 STREET,111 STREET,41 AVENUE,40.75017621177445,"{'type': 'Point', 'coordinates': [-73.85791419637468, 40.75017621177445]}",,,,Residential Building/House,,-73.85791419637468,PHONE,QUEENS,Unspecified,2020-03-19T07:36:39.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,41 AVENUE,,,45853056,,1023618,212618
40,ADDRESS,DEP,Department of Environmental Protection,5008240095,STATEN ISLAND,,,STATEN ISLAND,,02 STATEN ISLAND,Noise,2020-03-19T00:18:00.000,BEND,LARRISON LOOP,"Noise, Barking Dog (NR5)",,N/A,61 SUNSET AVENUE,10314,,,,40.599990130388576,"{'type': 'Point', 'coordinates': [-74.13297962623243, 40.599990130388576]}",,,,,,-74.13297962623243,ONLINE,STATEN ISLAND,Unspecified,,,,Open,SUNSET AVENUE,,,45860891,,947322,157897
41,,NYPD,New York City Police Department,4046560031,QUEENS,,,WHITESTONE,2020-03-19T05:01:42.000,07 QUEENS,Illegal Parking,2020-03-19T00:18:35.000,21 AVENUE,22 AVENUE,Blocked Sidewalk,,,21-14 149 STREET,11357,21 AVENUE,22 AVENUE,149 STREET,40.77984439400359,"{'type': 'Point', 'coordinates': [-73.81718986536853, 40.77984439400359]}",,,,Street/Sidewalk,,-73.81718986536853,MOBILE,QUEENS,Unspecified,2020-03-19T09:01:45.000,The Police Department responded to the complaint and determined that police action was not necessary,,Closed,149 STREET,,,45855097,,1034879,223448
42,ADDRESS,DOB,Department of Buildings,2032580073,BRONX,,,BRONX,2020-03-20T00:00:00.000,08 BRONX,Elevator,2020-03-19T00:18:52.000,,,Elevator - Multiple Devices On Property,,,3400 FORT INDEPENDENCE STREET,10463,,,,40.880349795123124,"{'type': 'Point', 'coordinates': [-73.89927699007562, 40.880349795123124]}",,,,,,-73.89927699007562,UNKNOWN,BRONX,Unspecified,2020-03-20T00:00:00.000,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",,Closed,FORT INDEPENDENCE STREET,,,45858475,,1012103,260029
43,,NYPD,New York City Police Department,1015490038,MANHATTAN,,,NEW YORK,2020-03-19T00:44:01.000,08 MANHATTAN,Noise - Residential,2020-03-19T00:19:38.000,2 AVENUE,1 AVENUE,Banging/Pounding,,,340 EAST   87 STREET,10128,2 AVENUE,1 AVENUE,EAST   87 STREET,40.77810948190901,"{'type': 'Point', 'coordinates': [-73.95022312982138, 40.77810948190901]}",,,,Residential Building/House,,-73.95022312982138,MOBILE,MANHATTAN,Unspecified,2020-03-19T04:44:07.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,EAST   87 STREET,,,45856831,,998036,222767
