,address_type,agency,agency_name,bbl,borough,bridge_highway_direction,bridge_highway_name,bridge_highway_segment,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,latitude,location,location_address,location_city,location_state,location_type,location_zip,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,road_ramp,status,street_name,taxi_company_borough,taxi_pick_up_location,unique_key,vehicle_type,x_coordinate_state_plane,y_coordinate_state_plane
18,,NYPD,New York City Police Department,4004650001,QUEENS,,,,LONG ISLAND CITY,2020-03-22T01:29:33.000,01 QUEENS,Noise - Residential,2020-03-22T00:10:45.000,41 AVENUE,KOCH BR PEDESTRIAN AND BIKE PATH,Loud Music/Party,,,41-08 VERNON BOULEVARD,11101,41 AVENUE,KOCH BR PEDESTRIAN AND BIKE PATH,VERNON BOULEVARD,40.755560504226615,"{'type': 'Point', 'coordinates': [-73.94812122656849, 40.755560504226615]}",,,,Residential Building/House,,-73.94812122656849,ONLINE,QUEENS,Unspecified,2020-03-22T05:29:34.000,The Police Department responded to the complaint and a report was prepared.,,Closed,VERNON BOULEVARD,,,45875223,,998623,214552
19,,DCA,Department of Consumer Affairs,3070750057,BROOKLYN,,,,BROOKLYN,2020-03-23T15:05:05.000,11 BROOKLYN,Consumer Complaint,2020-03-22T00:10:54.000,25 AVENUE,84 STREET,Retail Store,,,1949 STILLWELL AVENUE,11223,25 AVENUE,84 STREET,STILLWELL AVENUE,40.59918509833302,"{'type': 'Point', 'coordinates': [-73.98571120573638, 40.59918509833302]}",,,,Commercial Building,,-73.98571120573638,ONLINE,BROOKLYN,Unspecified,2020-03-23T19:05:24.000,The Department of Consumer Affairs has received your report. This request is under investigation. Th,,Closed,STILLWELL AVENUE,,,45870880,,988218,157576
20,,NYPD,New York City Police Department,3051000091,BROOKLYN,,,,BROOKLYN,2020-03-22T04:17:57.000,14 BROOKLYN,Noise - Residential,2020-03-22T00:11:21.000,TENNIS COURT,ALBEMARLE ROAD,Loud Music/Party,,,65 EAST   19 STREET,11226,TENNIS COURT,ALBEMARLE ROAD,EAST   19 STREET,40.647990264691344,"{'type': 'Point', 'coordinates': [-73.96182663286919, 40.647990264691344]}",,,,Residential Building/House,,-73.96182663286919,MOBILE,BROOKLYN,Unspecified,2020-03-22T08:17:58.000,The Police Department responded to the complaint but officers were unable to gain entry into the pre,,Closed,EAST   19 STREET,,,45873399,,994843,175359
21,,DCA,Department of Consumer Affairs,1002940028,MANHATTAN,,,,NEW YORK,2020-03-23T15:05:08.000,03 MANHATTAN,Consumer Complaint,2020-03-22T00:11:32.000,ORCHARD STREET,LUDLOW STREET,Retail Store,,,138 DIVISION STREET,10002,ORCHARD STREET,LUDLOW STREET,DIVISION STREET,40.71446919557813,"{'type': 'Point', 'coordinates': [-73.99157710648002, 40.71446919557813]}",,,,,,-73.99157710648002,PHONE,MANHATTAN,Unspecified,2020-03-23T19:05:26.000,The Department of Consumer Affairs has received your report. This request is under investigation. Th,,Closed,DIVISION STREET,,,45872145,,986585,199577
22,,NYPD,New York City Police Department,4122690011,QUEENS,,,,JAMAICA,2020-03-22T01:29:20.000,12 QUEENS,Noise - Residential,2020-03-22T00:12:42.000,161 STREET,LONG STREET,Banging/Pounding,,,161-10 BAISLEY BOULEVARD,11434,161 STREET,LONG STREET,BAISLEY BOULEVARD,40.67723435246815,"{'type': 'Point', 'coordinates': [-73.78109796926829, 40.67723435246815]}",,,,Residential Building/House,,-73.78109796926829,ONLINE,QUEENS,Unspecified,2020-03-22T05:29:31.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,BAISLEY BOULEVARD,,,45874537,,1044968,186087
23,,NYPD,New York City Police Department,2033510046,BRONX,,,,BRONX,2020-03-22T03:09:12.000,07 BRONX,Illegal Parking,2020-03-22T00:12:52.000,EAST  207 STREET,EAST  209 STREET,Blocked Hydrant,,,3277 DECATUR AVENUE,10467,EAST  207 STREET,EAST  209 STREET,DECATUR AVENUE,40.87579361001514,"{'type': 'Point', 'coordinates': [-73.87412021742101, 40.87579361001514]}",,,,Street/Sidewalk,,-73.87412021742101,PHONE,BRONX,Unspecified,2020-03-22T07:09:19.000,Your request can not be processed at this time because of insufficient contact information. Please c,,Closed,DECATUR AVENUE,,,45874214,,1019062,258378
24,,NYPD,New York City Police Department,3064450035,BROOKLYN,,,,BROOKLYN,2020-03-22T00:19:42.000,11 BROOKLYN,Noise - Vehicle,2020-03-22T00:13:18.000,BATH AVENUE,CROPSEY AVENUE,Car/Truck Horn,,,172 BAY   28 STREET,11214,BATH AVENUE,CROPSEY AVENUE,BAY   28 STREET,40.599251857808106,"{'type': 'Point', 'coordinates': [-73.99904573229611, 40.599251857808106]}",,,,Street/Sidewalk,,-73.99904573229611,MOBILE,BROOKLYN,Unspecified,2020-03-22T04:19:50.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,BAY   28 STREET,,,45874886,,984515,157600
25,ADDRESS,DOB,Department of Buildings,3052180039,BROOKLYN,,,,BROOKLYN,2020-03-23T00:00:00.000,14 BROOKLYN,Elevator,2020-03-22T00:13:43.000,,,Elevator - Single Device On Property/No Alternate Service,,,601 EAST   18 STREET,11226,,,,40.63619823642374,"{'type': 'Point', 'coordinates': [-73.96055431186893, 40.63619823642374]}",,,,,,-73.96055431186893,UNKNOWN,BROOKLYN,Unspecified,2020-03-23T00:00:00.000,"The Department of Buildings determined that the conditions described in this complaint were addressed under another service request number. Click on ""Learn More"" in the ""Did You Know"" section below for more information.",,Closed,EAST   18 STREET,,,45879148,,995198,171063
26,,NYPD,New York City Police Department,1012220012,MANHATTAN,,,,NEW YORK,2020-03-22T03:46:57.000,07 MANHATTAN,Noise - Residential,2020-03-22T00:14:30.000,COLUMBUS AVENUE,AMSTERDAM AVENUE,Loud Music/Party,,,139 WEST   91 STREET,10024,COLUMBUS AVENUE,AMSTERDAM AVENUE,WEST   91 STREET,40.79052299031804,"{'type': 'Point', 'coordinates': [-73.97184587106095, 40.79052299031804]}",,,,Residential Building/House,,-73.97184587106095,ONLINE,MANHATTAN,Unspecified,2020-03-22T07:47:03.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,WEST   91 STREET,,,45871473,,992046,227287
27,,NYPD,New York City Police Department,1003620001,MANHATTAN,,,,NEW YORK,2020-03-22T06:07:47.000,03 MANHATTAN,Noise - Residential,2020-03-22T00:14:46.000,AVENUE D,FRANKLIN D ROOSEVELT DRIVE,Banging/Pounding,,,903 EAST    6 STREET,10009,AVENUE D,FRANKLIN D ROOSEVELT DRIVE,EAST    6 STREET,40.72206171900599,"{'type': 'Point', 'coordinates': [-73.9758395953869, 40.72206171900599]}",,,,Residential Building/House,,-73.9758395953869,ONLINE,MANHATTAN,Unspecified,2020-03-22T10:07:50.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,EAST    6 STREET,,,45872701,,990947,202344
28,,NYPD,New York City Police Department,2047210017,BRONX,,,,BRONX,2020-03-23T04:02:10.000,12 BRONX,Noise - Residential,2020-03-22T00:14:54.000,BOSTON ROAD,HICKS STREET,Loud Music/Party,,,3468 FENTON AVENUE,10469,BOSTON ROAD,HICKS STREET,FENTON AVENUE,40.8776213683898,"{'type': 'Point', 'coordinates': [-73.8487968882778, 40.8776213683898]}",,,,Residential Building/House,,-73.8487968882778,ONLINE,BRONX,Unspecified,2020-03-23T08:02:12.000,The Police Department reviewed your complaint and provided additional information below.,,Closed,FENTON AVENUE,,,45872712,,1026064,259055
29,,NYPD,New York City Police Department,2026100012,BRONX,,,,BRONX,2020-03-22T05:02:02.000,03 BRONX,Noise - Residential,2020-03-22T00:15:15.000,3 AVENUE,FULTON AVENUE,Loud Music/Party,,,530 EAST  169 STREET,10456,3 AVENUE,FULTON AVENUE,EAST  169 STREET,40.83261302416413,"{'type': 'Point', 'coordinates': [-73.90467576630016, 40.83261302416413]}",,,,Residential Building/House,,-73.90467576630016,ONLINE,BRONX,Unspecified,2020-03-22T09:02:08.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,EAST  169 STREET,,,45874225,,1010629,242635
30,,NYPD,New York City Police Department,5024520033,STATEN ISLAND,,,,STATEN ISLAND,2020-03-22T01:25:50.000,02 STATEN ISLAND,Noise - Residential,2020-03-22T00:15:42.000,RICHMOND HILL ROAD,WELLINGTON COURT,Loud Music/Party,,,39 VENUS LANE,10314,RICHMOND HILL ROAD,WELLINGTON COURT,VENUS LANE,40.58180771420626,"{'type': 'Point', 'coordinates': [-74.15551229032182, 40.58180771420626]}",,,,Residential Building/House,,-74.15551229032182,ONLINE,STATEN ISLAND,Unspecified,2020-03-22T05:25:54.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,VENUS LANE,,,45872607,,941053,151283
31,,NYPD,New York City Police Department,1003620001,MANHATTAN,,,,NEW YORK,2020-03-22T06:07:33.000,03 MANHATTAN,Noise - Residential,2020-03-22T00:15:46.000,AVENUE D,FRANKLIN D ROOSEVELT DRIVE,Banging/Pounding,,,903 EAST    6 STREET,10009,AVENUE D,FRANKLIN D ROOSEVELT DRIVE,EAST    6 STREET,40.72206171900599,"{'type': 'Point', 'coordinates': [-73.9758395953869, 40.72206171900599]}",,,,Residential Building/House,,-73.9758395953869,ONLINE,MANHATTAN,Unspecified,2020-03-22T10:07:37.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,EAST    6 STREET,,,45872707,,990947,202344
32,,NYPD,New York City Police Department,2024630006,BRONX,,,,BRONX,2020-03-22T02:23:42.000,04 BRONX,Noise - Residential,2020-03-22T00:16:23.000,MCCLELLAN STREET,TUDOR PLACE,Loud Music/Party,,,1176 WALTON AVENUE,10452,MCCLELLAN STREET,TUDOR PLACE,WALTON AVENUE,40.83416993768327,"{'type': 'Point', 'coordinates': [-73.91998850886783, 40.83416993768327]}",,,,Residential Building/House,,-73.91998850886783,MOBILE,BRONX,Unspecified,2020-03-22T06:23:48.000,The Police Department responded to the complaint and determined that police action was not necessary,,Closed,WALTON AVENUE,,,45870850,,1006391,243198
33,,NYPD,New York City Police Department,1003620001,MANHATTAN,,,,NEW YORK,2020-03-22T06:06:35.000,03 MANHATTAN,Noise - Residential,2020-03-22T00:16:41.000,AVENUE D,FRANKLIN D ROOSEVELT DRIVE,Banging/Pounding,,,903 EAST    6 STREET,10009,AVENUE D,FRANKLIN D ROOSEVELT DRIVE,EAST    6 STREET,40.72206171900599,"{'type': 'Point', 'coordinates': [-73.9758395953869, 40.72206171900599]}",,,,Residential Building/House,,-73.9758395953869,ONLINE,MANHATTAN,Unspecified,2020-03-22T10:06:42.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,EAST    6 STREET,,,45872197,,990947,202344
34,,NYPD,New York City Police Department,3016560030,BROOKLYN,,,,BROOKLYN,2020-03-22T01:20:48.000,03 BROOKLYN,Noise - Residential,2020-03-22T00:17:19.000,STUYVESANT AVENUE,MALCOLM X BOULEVARD,Banging/Pounding,,,680 JEFFERSON AVENUE,11221,STUYVESANT AVENUE,MALCOLM X BOULEVARD,JEFFERSON AVENUE,40.68551597167343,"{'type': 'Point', 'coordinates': [-73.93056202576177, 40.68551597167343]}",,,,Residential Building/House,,-73.93056202576177,ONLINE,BROOKLYN,Unspecified,2020-03-22T05:20:54.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,JEFFERSON AVENUE,,,45870682,,1003508,189036
35,,NYPD,New York City Police Department,1003620001,MANHATTAN,,,,NEW YORK,2020-03-22T06:06:21.000,03 MANHATTAN,Noise - Residential,2020-03-22T00:17:46.000,AVENUE D,FRANKLIN D ROOSEVELT DRIVE,Banging/Pounding,,,903 EAST    6 STREET,10009,AVENUE D,FRANKLIN D ROOSEVELT DRIVE,EAST    6 STREET,40.72206171900599,"{'type': 'Point', 'coordinates': [-73.9758395953869, 40.72206171900599]}",,,,Residential Building/House,,-73.9758395953869,ONLINE,MANHATTAN,Unspecified,2020-03-22T10:06:22.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,EAST    6 STREET,,,45871414,,990947,202344
36,,NYPD,New York City Police Department,1003620001,MANHATTAN,,,,NEW YORK,2020-03-22T06:06:09.000,03 MANHATTAN,Noise - Residential,2020-03-22T00:18:34.000,AVENUE D,FRANKLIN D ROOSEVELT DRIVE,Banging/Pounding,,,903 EAST    6 STREET,10009,AVENUE D,FRANKLIN D ROOSEVELT DRIVE,EAST    6 STREET,40.72206171900599,"{'type': 'Point', 'coordinates': [-73.9758395953869, 40.72206171900599]}",,,,Residential Building/House,,-73.9758395953869,ONLINE,MANHATTAN,Unspecified,2020-03-22T10:06:15.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,EAST    6 STREET,,,45874089,,990947,202344
37,,NYPD,New York City Police Department,3062600020,BROOKLYN,,,,BROOKLYN,2020-03-22T00:22:06.000,11 BROOKLYN,Illegal Parking,2020-03-22T00:19:04.000,17 AVENUE,18 AVENUE,Blocked Sidewalk,,,1734 78 STREET,11214,17 AVENUE,18 AVENUE,78 STREET,40.612531181030924,"{'type': 'Point', 'coordinates': [-73.99921482361663, 40.612531181030924]}",,,,Street/Sidewalk,,-73.99921482361663,MOBILE,BROOKLYN,Unspecified,2020-03-22T04:22:10.000,The Police Department responded to the complaint and determined that police action was not necessary,,Closed,78 STREET,,,45871139,,984468,162438
38,,NYPD,New York City Police Department,1003620001,MANHATTAN,,,,NEW YORK,2020-03-22T06:05:54.000,03 MANHATTAN,Noise - Residential,2020-03-22T00:19:07.000,AVENUE D,FRANKLIN D ROOSEVELT DRIVE,Banging/Pounding,,,903 EAST    6 STREET,10009,AVENUE D,FRANKLIN D ROOSEVELT DRIVE,EAST    6 STREET,40.72206171900599,"{'type': 'Point', 'coordinates': [-73.9758395953869, 40.72206171900599]}",,,,Residential Building/House,,-73.9758395953869,ONLINE,MANHATTAN,Unspecified,2020-03-22T10:05:55.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,EAST    6 STREET,,,45870867,,990947,202344
39,,NYPD,New York City Police Department,4031070141,QUEENS,,,,REGO PARK,2020-03-22T02:29:15.000,06 QUEENS,Noise - Residential,2020-03-22T00:19:15.000,62 ROAD,62 DRIVE,Banging/Pounding,,,62-61 WOODHAVEN BOULEVARD,11374,62 ROAD,62 DRIVE,WOODHAVEN BOULEVARD,40.72530627566788,"{'type': 'Point', 'coordinates': [-73.86977202716528, 40.72530627566788]}",,,,Residential Building/House,,-73.86977202716528,ONLINE,QUEENS,Unspecified,2020-03-22T06:29:18.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,WOODHAVEN BOULEVARD,,,45870253,,1020346,203552
40,,NYPD,New York City Police Department,2028650129,BRONX,,,,BRONX,2020-03-22T08:06:05.000,05 BRONX,Noise - Residential,2020-03-22T00:19:18.000,INWOOD AVENUE,BEND,Loud Music/Party,,,47 FEATHERBED LANE,10452,INWOOD AVENUE,BEND,FEATHERBED LANE,40.845826592440126,"{'type': 'Point', 'coordinates': [-73.91594809153665, 40.845826592440126]}",,,,Residential Building/House,,-73.91594809153665,MOBILE,BRONX,Unspecified,2020-03-22T12:06:07.000,The Police Department reviewed your complaint and provided additional information below.,,Closed,FEATHERBED LANE,,,45871416,,1007505,247446
41,,NYPD,New York City Police Department,1018080001,MANHATTAN,,,,NEW YORK,2020-03-22T01:49:04.000,11 MANHATTAN,Noise - Residential,2020-03-22T00:19:44.000,1 AVENUE,BEND,Loud Music/Party,,,20 PALADINO AVENUE,10035,1 AVENUE,BEND,PALADINO AVENUE,40.80036497064086,"{'type': 'Point', 'coordinates': [-73.9312115560449, 40.80036497064086]}",,,,Residential Building/House,,-73.9312115560449,ONLINE,MANHATTAN,Unspecified,2020-03-22T05:49:06.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,PALADINO AVENUE,,,45874547,,1003295,230879
