,address_type,agency,agency_name,bbl,borough,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,latitude,location,location_address,location_city,location_state,location_type,location_zip,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,status,street_name,taxi_pick_up_location,unique_key,x_coordinate_state_plane,y_coordinate_state_plane
10,,NYPD,New York City Police Department,3073080032,BROOKLYN,BROOKLYN,,15 BROOKLYN,Noise - Residential,2020-03-26T00:01:17.000,AVENUE S,AVENUE T,Loud Talking,,3310 NOSTRAND AVENUE,11229,AVENUE S,AVENUE T,NOSTRAND AVENUE,40.603574254909994,"{'type': 'Point', 'coordinates': [-73.94249534229924, 40.603574254909994]}",,,,Residential Building/House,,-73.94249534229924,MOBILE,BROOKLYN,Unspecified,,,In Progress,NOSTRAND AVENUE,,45895396,1000218,159180
11,,NYPD,New York City Police Department,4004250005,QUEENS,LONG ISLAND CITY,,02 QUEENS,Illegal Parking,2020-03-26T00:01:23.000,FLUSHING LINE,24 STREET,Posted Parking Sign Violation,,23-10 QUEENS PLAZA SOUTH,11101,FLUSHING LINE,24 STREET,QUEENS PLAZA SOUTH,40.751135817384956,"{'type': 'Point', 'coordinates': [-73.94203952562846, 40.751135817384956]}",,,,Street/Sidewalk,,-73.94203952562846,ONLINE,QUEENS,Unspecified,,,In Progress,QUEENS PLAZA SOUTH,,45895096,1000309,212941
12,,NYPD,New York City Police Department,5000180127,STATEN ISLAND,STATEN ISLAND,2020-03-26T00:54:14.000,01 STATEN ISLAND,Noise - Residential,2020-03-26T00:01:36.000,FORT PLACE,BENZIGER AVENUE,Banging/Pounding,,34 MONROE AVENUE,10301,FORT PLACE,BENZIGER AVENUE,MONROE AVENUE,40.64103856404178,"{'type': 'Point', 'coordinates': [-74.07946281984931, 40.64103856404178]}",,,,Residential Building/House,,-74.07946281984931,PHONE,STATEN ISLAND,Unspecified,2020-03-26T04:54:19.000,The Police Department responded to the complaint and with the information available observed no evid,Closed,MONROE AVENUE,,45895282,962197,172834
13,,NYPD,New York City Police Department,3049310031,BROOKLYN,BROOKLYN,,17 BROOKLYN,Noise - Vehicle,2020-03-26T00:01:55.000,CORTELYOU ROAD,CLARENDON ROAD,Car/Truck Music,,282 EAST   32 STREET,11226,CORTELYOU ROAD,CLARENDON ROAD,EAST   32 STREET,40.64380953076333,"{'type': 'Point', 'coordinates': [-73.94691448835228, 40.64380953076333]}",,,,Street/Sidewalk,,-73.94691448835228,PHONE,BROOKLYN,Unspecified,,,In Progress,EAST   32 STREET,,45894487,998982,173838
14,,TLC,Taxi and Limousine Commission,4004250005,QUEENS,LONG ISLAND CITY,,02 QUEENS,For Hire Vehicle Complaint,2020-03-26T00:02:42.000,FLUSHING LINE,24 STREET,Driver Complaint - Non Passenger,,23-10 QUEENS PLAZA SOUTH,11101,FLUSHING LINE,24 STREET,QUEENS PLAZA SOUTH,40.751135817384956,"{'type': 'Point', 'coordinates': [-73.94203952562846, 40.751135817384956]}",,,,,,-73.94203952562846,ONLINE,QUEENS,Unspecified,,,In Progress,QUEENS PLAZA SOUTH,"23-10 QUEENS PLAZA SOUTH, QUEENS (LONG ISLAND CITY), NY, 111",45891698,1000309,212941
15,,NYPD,New York City Police Department,3051580034,BROOKLYN,BROOKLYN,2020-03-26T01:40:59.000,14 BROOKLYN,Noise - Residential,2020-03-26T00:02:56.000,BRIGHTON LINE,EAST   16 STREET,Loud Music/Party,,1525 DORCHESTER ROAD,11226,BRIGHTON LINE,EAST   16 STREET,DORCHESTER ROAD,40.639534126270725,"{'type': 'Point', 'coordinates': [-73.96350334790395, 40.639534126270725]}",,,,Residential Building/House,,-73.96350334790395,ONLINE,BROOKLYN,Unspecified,2020-03-26T05:41:01.000,The Police Department responded to the complaint but officers were unable to gain entry into the pre,Closed,DORCHESTER ROAD,,45891601,994379,172278
16,,DPR,Department of Parks and Recreation,4080420058,QUEENS,LITTLE NECK,,11 QUEENS,Overgrown Tree/Branches,2020-03-26T00:03:23.000,BEND,WEST DRIVE,Dead Branches in Tree,,8 SHORE ROAD,11363,BEND,WEST DRIVE,SHORE ROAD,40.773954988423775,"{'type': 'Point', 'coordinates': [-73.75288915434692, 40.773954988423775]}",,,,Street,,-73.75288915434692,UNKNOWN,QUEENS,Unspecified,,,In Progress,SHORE ROAD,,45891501,1052693,221346
17,,DPR,Department of Parks and Recreation,4080450017,QUEENS,LITTLE NECK,,11 QUEENS,Overgrown Tree/Branches,2020-03-26T00:03:23.000,WEST DRIVE,CENTER DRIVE,Dead Branches in Tree,,102 PARK LANE,11363,WEST DRIVE,CENTER DRIVE,PARK LANE,40.77410390034819,"{'type': 'Point', 'coordinates': [-73.7519354351448, 40.77410390034819]}",,,,Street,,-73.7519354351448,UNKNOWN,QUEENS,Unspecified,,,In Progress,PARK LANE,,45893035,1052957,221401
18,,DPR,Department of Parks and Recreation,4080450017,QUEENS,LITTLE NECK,,11 QUEENS,New Tree Request,2020-03-26T00:03:23.000,WEST DRIVE,CENTER DRIVE,For One Address,,102 PARK LANE,11363,WEST DRIVE,CENTER DRIVE,PARK LANE,40.77410390034819,"{'type': 'Point', 'coordinates': [-73.7519354351448, 40.77410390034819]}",,,,Street,,-73.7519354351448,UNKNOWN,QUEENS,Unspecified,,,In Progress,PARK LANE,,45893502,1052957,221401
19,,DPR,Department of Parks and Recreation,4080450017,QUEENS,LITTLE NECK,,11 QUEENS,Root/Sewer/Sidewalk Condition,2020-03-26T00:03:23.000,WEST DRIVE,CENTER DRIVE,Trees and Sidewalks Program,,102 PARK LANE,11363,WEST DRIVE,CENTER DRIVE,PARK LANE,40.77410390034819,"{'type': 'Point', 'coordinates': [-73.7519354351448, 40.77410390034819]}",,,,Street,,-73.7519354351448,UNKNOWN,QUEENS,Unspecified,,,In Progress,PARK LANE,,45894023,1052957,221401
20,,DPR,Department of Parks and Recreation,4080420058,QUEENS,LITTLE NECK,,11 QUEENS,Dead/Dying Tree,2020-03-26T00:03:23.000,BEND,WEST DRIVE,Planted More Than 2 Years Ago,,8 SHORE ROAD,11363,BEND,WEST DRIVE,SHORE ROAD,40.773954988423775,"{'type': 'Point', 'coordinates': [-73.75288915434692, 40.773954988423775]}",,,,Street,,-73.75288915434692,UNKNOWN,QUEENS,Unspecified,,,In Progress,SHORE ROAD,,45895460,1052693,221346
21,,DPR,Department of Parks and Recreation,4080450017,QUEENS,LITTLE NECK,,11 QUEENS,Dead/Dying Tree,2020-03-26T00:03:23.000,WEST DRIVE,CENTER DRIVE,Planted More Than 2 Years Ago,,102 PARK LANE,11363,WEST DRIVE,CENTER DRIVE,PARK LANE,40.77410390034819,"{'type': 'Point', 'coordinates': [-73.7519354351448, 40.77410390034819]}",,,,Street,,-73.7519354351448,UNKNOWN,QUEENS,Unspecified,,,In Progress,PARK LANE,,45893483,1052957,221401
22,,DPR,Department of Parks and Recreation,4080420058,QUEENS,LITTLE NECK,,11 QUEENS,New Tree Request,2020-03-26T00:03:23.000,BEND,WEST DRIVE,For One Address,,8 SHORE ROAD,11363,BEND,WEST DRIVE,SHORE ROAD,40.773954988423775,"{'type': 'Point', 'coordinates': [-73.75288915434692, 40.773954988423775]}",,,,Street,,-73.75288915434692,UNKNOWN,QUEENS,Unspecified,,,In Progress,SHORE ROAD,,45894019,1052693,221346
23,,DPR,Department of Parks and Recreation,4080420058,QUEENS,LITTLE NECK,,11 QUEENS,New Tree Request,2020-03-26T00:03:23.000,BEND,WEST DRIVE,For One Address,,8 SHORE ROAD,11363,BEND,WEST DRIVE,SHORE ROAD,40.773954988423775,"{'type': 'Point', 'coordinates': [-73.75288915434692, 40.773954988423775]}",,,,Street,,-73.75288915434692,UNKNOWN,QUEENS,Unspecified,,,In Progress,SHORE ROAD,,45895463,1052693,221346
24,,NYPD,New York City Police Department,3083290225,BROOKLYN,BROOKLYN,,18 BROOKLYN,Noise - Residential,2020-03-26T00:03:32.000,BELT PARKWAY EXIT   13 WESTBOUND,EAST  102 STREET,Loud Music/Party,,5935 SHORE PARKWAY,11236,BELT PARKWAY EXIT   13 WESTBOUND,EAST  102 STREET,SHORE PARKWAY,40.631446062234645,"{'type': 'Point', 'coordinates': [-73.88539297143048, 40.631446062234645]}",,,,Residential Building/House,,-73.88539297143048,ONLINE,BROOKLYN,Unspecified,,,In Progress,SHORE PARKWAY,,45890931,1016061,169350
25,,TLC,Taxi and Limousine Commission,3012590001,BROOKLYN,BROOKLYN,,08 BROOKLYN,For Hire Vehicle Complaint,2020-03-26T00:04:16.000,FRANKLIN AVENUE,BEDFORD AVENUE,Driver Complaint - Non Passenger,,333 EASTERN PARKWAY,11216,FRANKLIN AVENUE,BEDFORD AVENUE,EASTERN PARKWAY,40.67056454988663,"{'type': 'Point', 'coordinates': [-73.9574590409931, 40.67056454988663]}",,,,,,-73.9574590409931,ONLINE,BROOKLYN,Unspecified,,,In Progress,EASTERN PARKWAY,"333 EASTERN PARKWAY, BROOKLYN, NY, 11216",45892307,996051,183584
26,,NYPD,New York City Police Department,3014030040,BROOKLYN,BROOKLYN,,09 BROOKLYN,Noise - Residential,2020-03-26T00:05:48.000,UTICA AVENUE,ROCHESTER AVENUE,Loud Music/Party,,1776 UNION STREET,11213,UTICA AVENUE,ROCHESTER AVENUE,UNION STREET,40.66770152165978,"{'type': 'Point', 'coordinates': [-73.92915310753094, 40.66770152165978]}",,,,Residential Building/House,,-73.92915310753094,MOBILE,BROOKLYN,Unspecified,,,In Progress,UNION STREET,,45891718,1003904,182546
27,,DPR,Department of Parks and Recreation,4080610013,QUEENS,LITTLE NECK,,11 QUEENS,Dead/Dying Tree,2020-03-26T00:06:25.000,ALSTON PLACE,ARDSLEY ROAD,Planted More Than 2 Years Ago,,4 RIDGE ROAD,11363,ALSTON PLACE,ARDSLEY ROAD,RIDGE ROAD,40.77344194677934,"{'type': 'Point', 'coordinates': [-73.75171766389006, 40.77344194677934]}",,,,Street,,-73.75171766389006,UNKNOWN,QUEENS,Unspecified,,,In Progress,RIDGE ROAD,,45894970,1053018,221160
28,,DPR,Department of Parks and Recreation,4080450017,QUEENS,LITTLE NECK,,11 QUEENS,New Tree Request,2020-03-26T00:06:25.000,WEST DRIVE,CENTER DRIVE,For One Address,,102 PARK LANE,11363,WEST DRIVE,CENTER DRIVE,PARK LANE,40.77410390034819,"{'type': 'Point', 'coordinates': [-73.7519354351448, 40.77410390034819]}",,,,Street,,-73.7519354351448,UNKNOWN,QUEENS,Unspecified,,,In Progress,PARK LANE,,45894567,1052957,221401
29,,NYPD,New York City Police Department,4014760026,QUEENS,JACKSON HEIGHTS,,03 QUEENS,Noise - Residential,2020-03-26T00:06:25.000,37 AVENUE,ROOSEVELT AVENUE,Banging/Pounding,,37-52 89 STREET,11372,37 AVENUE,ROOSEVELT AVENUE,89 STREET,40.74932873873501,"{'type': 'Point', 'coordinates': [-73.87761100776179, 40.74932873873501]}",,,,,,-73.87761100776179,PHONE,QUEENS,Unspecified,,,In Progress,89 STREET,,45895056,1018161,212301
30,,DPR,Department of Parks and Recreation,4080610013,QUEENS,LITTLE NECK,,11 QUEENS,New Tree Request,2020-03-26T00:06:26.000,ALSTON PLACE,ARDSLEY ROAD,For One Address,,4 RIDGE ROAD,11363,ALSTON PLACE,ARDSLEY ROAD,RIDGE ROAD,40.77344194677934,"{'type': 'Point', 'coordinates': [-73.75171766389006, 40.77344194677934]}",,,,Street,,-73.75171766389006,UNKNOWN,QUEENS,Unspecified,,,In Progress,RIDGE ROAD,,45891075,1053018,221160
31,,DPR,Department of Parks and Recreation,4080440013,QUEENS,LITTLE NECK,,11 QUEENS,New Tree Request,2020-03-26T00:06:26.000,36 AVENUE,ALSTON PLACE,For One Address,,36-18 WEST DRIVE,11363,36 AVENUE,ALSTON PLACE,WEST DRIVE,40.77374478396999,"{'type': 'Point', 'coordinates': [-73.7521425691133, 40.77374478396999]}",,,,Street,,-73.7521425691133,UNKNOWN,QUEENS,Unspecified,,,In Progress,WEST DRIVE,,45893487,1052900,221270
32,,DPR,Department of Parks and Recreation,4080610013,QUEENS,LITTLE NECK,,11 QUEENS,Overgrown Tree/Branches,2020-03-26T00:06:26.000,ALSTON PLACE,ARDSLEY ROAD,Dead Branches in Tree,,4 RIDGE ROAD,11363,ALSTON PLACE,ARDSLEY ROAD,RIDGE ROAD,40.77344194677934,"{'type': 'Point', 'coordinates': [-73.75171766389006, 40.77344194677934]}",,,,Street,,-73.75171766389006,UNKNOWN,QUEENS,Unspecified,,,In Progress,RIDGE ROAD,,45891500,1053018,221160
33,,DPR,Department of Parks and Recreation,4080610008,QUEENS,LITTLE NECK,,11 QUEENS,New Tree Request,2020-03-26T00:06:26.000,WEST DRIVE,BEND,For One Address,,110 WEST DRIVE,11363,WEST DRIVE,BEND,WEST DRIVE,40.77308359973772,"{'type': 'Point', 'coordinates': [-73.75228222612024, 40.77308359973772]}",,,,Street,,-73.75228222612024,UNKNOWN,QUEENS,Unspecified,,,In Progress,WEST DRIVE,,45894638,1052862,221029
34,,DPR,Department of Parks and Recreation,4080610013,QUEENS,LITTLE NECK,,11 QUEENS,Dead/Dying Tree,2020-03-26T00:06:26.000,ALSTON PLACE,ARDSLEY ROAD,Planted More Than 2 Years Ago,,4 RIDGE ROAD,11363,ALSTON PLACE,ARDSLEY ROAD,RIDGE ROAD,40.77344194677934,"{'type': 'Point', 'coordinates': [-73.75171766389006, 40.77344194677934]}",,,,Street,,-73.75171766389006,UNKNOWN,QUEENS,Unspecified,,,In Progress,RIDGE ROAD,,45890944,1053018,221160
35,,DPR,Department of Parks and Recreation,4080610008,QUEENS,LITTLE NECK,,11 QUEENS,Root/Sewer/Sidewalk Condition,2020-03-26T00:06:27.000,WEST DRIVE,BEND,Trees and Sidewalks Program,,110 WEST DRIVE,11363,WEST DRIVE,BEND,WEST DRIVE,40.77308359973772,"{'type': 'Point', 'coordinates': [-73.75228222612024, 40.77308359973772]}",,,,Street,,-73.75228222612024,UNKNOWN,QUEENS,Unspecified,,,In Progress,WEST DRIVE,,45894571,1052862,221029
36,,DPR,Department of Parks and Recreation,4080610013,QUEENS,LITTLE NECK,,11 QUEENS,Overgrown Tree/Branches,2020-03-26T00:06:29.000,ALSTON PLACE,ARDSLEY ROAD,Hitting Building,,4 RIDGE ROAD,11363,ALSTON PLACE,ARDSLEY ROAD,RIDGE ROAD,40.77344194677934,"{'type': 'Point', 'coordinates': [-73.75171766389006, 40.77344194677934]}",,,,Street,,-73.75171766389006,UNKNOWN,QUEENS,Unspecified,,,In Progress,RIDGE ROAD,,45891961,1053018,221160
37,,NYPD,New York City Police Department,4014760026,QUEENS,JACKSON HEIGHTS,,03 QUEENS,Noise - Residential,2020-03-26T00:08:37.000,37 AVENUE,ROOSEVELT AVENUE,Banging/Pounding,,37-52 89 STREET,11372,37 AVENUE,ROOSEVELT AVENUE,89 STREET,40.74932873873501,"{'type': 'Point', 'coordinates': [-73.87761100776179, 40.74932873873501]}",,,,,,-73.87761100776179,PHONE,QUEENS,Unspecified,,,In Progress,89 STREET,,45895952,1018161,212301
38,,NYPD,New York City Police Department,3068210275,BROOKLYN,BROOKLYN,,15 BROOKLYN,Noise - Street/Sidewalk,2020-03-26T00:08:56.000,AVENUE R,MOORE PLACE,Loud Talking,,1815 EAST   17 STREET,11229,AVENUE R,MOORE PLACE,EAST   17 STREET,40.605586570194475,"{'type': 'Point', 'coordinates': [-73.95575378891145, 40.605586570194475]}",,,,Street/Sidewalk,,-73.95575378891145,MOBILE,BROOKLYN,Unspecified,,,In Progress,EAST   17 STREET,,45892181,996536,159911
39,,DPR,Department of Parks and Recreation,4080570014,QUEENS,LITTLE NECK,,11 QUEENS,Dead/Dying Tree,2020-03-26T00:09:27.000,BEND,MELROSE LANE,Planted More Than 2 Years Ago,,22 WEST DRIVE,11363,BEND,MELROSE LANE,WEST DRIVE,40.77265781758126,"{'type': 'Point', 'coordinates': [-73.75212134189228, 40.77265781758126]}",,,,Street,,-73.75212134189228,UNKNOWN,QUEENS,Unspecified,,,In Progress,WEST DRIVE,,45893977,1052907,220874
40,,DPR,Department of Parks and Recreation,4080570014,QUEENS,LITTLE NECK,,11 QUEENS,Overgrown Tree/Branches,2020-03-26T00:09:28.000,BEND,MELROSE LANE,Blocking Street,,22 WEST DRIVE,11363,BEND,MELROSE LANE,WEST DRIVE,40.77265781758126,"{'type': 'Point', 'coordinates': [-73.75212134189228, 40.77265781758126]}",,,,Street,,-73.75212134189228,UNKNOWN,QUEENS,Unspecified,,,In Progress,WEST DRIVE,,45891988,1052907,220874
41,,DPR,Department of Parks and Recreation,4080570014,QUEENS,LITTLE NECK,,11 QUEENS,Overgrown Tree/Branches,2020-03-26T00:09:28.000,BEND,MELROSE LANE,Dead Branches in Tree,,22 WEST DRIVE,11363,BEND,MELROSE LANE,WEST DRIVE,40.77265781758126,"{'type': 'Point', 'coordinates': [-73.75212134189228, 40.77265781758126]}",,,,Street,,-73.75212134189228,UNKNOWN,QUEENS,Unspecified,,,In Progress,WEST DRIVE,,45895324,1052907,220874
42,,DPR,Department of Parks and Recreation,4080570014,QUEENS,LITTLE NECK,,11 QUEENS,Root/Sewer/Sidewalk Condition,2020-03-26T00:09:28.000,BEND,MELROSE LANE,Trees and Sidewalks Program,,22 WEST DRIVE,11363,BEND,MELROSE LANE,WEST DRIVE,40.77265781758126,"{'type': 'Point', 'coordinates': [-73.75212134189228, 40.77265781758126]}",,,,Street,,-73.75212134189228,UNKNOWN,QUEENS,Unspecified,,,In Progress,WEST DRIVE,,45894639,1052907,220874
43,,DPR,Department of Parks and Recreation,4080570014,QUEENS,LITTLE NECK,,11 QUEENS,Dead/Dying Tree,2020-03-26T00:09:28.000,BEND,MELROSE LANE,Planted More Than 2 Years Ago,,22 WEST DRIVE,11363,BEND,MELROSE LANE,WEST DRIVE,40.77265781758126,"{'type': 'Point', 'coordinates': [-73.75212134189228, 40.77265781758126]}",,,,Street,,-73.75212134189228,UNKNOWN,QUEENS,Unspecified,,,In Progress,WEST DRIVE,,45891478,1052907,220874
44,,DPR,Department of Parks and Recreation,4080570014,QUEENS,LITTLE NECK,,11 QUEENS,New Tree Request,2020-03-26T00:09:28.000,BEND,MELROSE LANE,For One Address,,22 WEST DRIVE,11363,BEND,MELROSE LANE,WEST DRIVE,40.77265781758126,"{'type': 'Point', 'coordinates': [-73.75212134189228, 40.77265781758126]}",,,,Street,,-73.75212134189228,UNKNOWN,QUEENS,Unspecified,,,In Progress,WEST DRIVE,,45891931,1052907,220874
45,,DCA,Department of Consumer Affairs,2030650033,BRONX,BRONX,,06 BRONX,Consumer Complaint,2020-03-26T00:10:12.000,EAST  186 STREET,EAST  187 STREET,Bodega/Deli/Supermarket,,2385 ARTHUR AVENUE,10458,EAST  186 STREET,EAST  187 STREET,ARTHUR AVENUE,40.85523625010421,"{'type': 'Point', 'coordinates': [-73.8878486476475, 40.85523625010421]}",,,,Commercial Building,,-73.8878486476475,ONLINE,BRONX,Unspecified,,,In Progress,ARTHUR AVENUE,,45894925,1015275,250883
46,,NYPD,New York City Police Department,4031390062,QUEENS,REGO PARK,,06 QUEENS,Noise - Residential,2020-03-26T00:11:06.000,WOODHAVEN BOULEVARD,FITCHETT STREET,Loud Music/Party,,85-29 66 AVENUE,11374,WOODHAVEN BOULEVARD,FITCHETT STREET,66 AVENUE,40.71880361293652,"{'type': 'Point', 'coordinates': [-73.86241466422547, 40.71880361293652]}",,,,Residential Building/House,,-73.86241466422547,ONLINE,QUEENS,Unspecified,,,In Progress,66 AVENUE,,45892321,1022389,201186
47,,DPR,Department of Parks and Recreation,4080570019,QUEENS,LITTLE NECK,,11 QUEENS,New Tree Request,2020-03-26T00:12:28.000,DEAD END,WEST DRIVE,For One Address,,3 MELROSE LANE,11363,DEAD END,WEST DRIVE,MELROSE LANE,40.772181437475886,"{'type': 'Point', 'coordinates': [-73.75268272326173, 40.772181437475886]}",,,,Street,,-73.75268272326173,UNKNOWN,QUEENS,Unspecified,,,In Progress,MELROSE LANE,,45893011,1052752,220700
48,,DPR,Department of Parks and Recreation,4080440009,QUEENS,LITTLE NECK,,11 QUEENS,Overgrown Tree/Branches,2020-03-26T00:12:28.000,BEND,WEST DRIVE,Blocking Street,,7 SHORE ROAD,11363,BEND,WEST DRIVE,SHORE ROAD,40.773938520061236,"{'type': 'Point', 'coordinates': [-73.75288921545719, 40.773938520061236]}",,,,Street,,-73.75288921545719,UNKNOWN,QUEENS,Unspecified,,,In Progress,SHORE ROAD,,45891431,1052693,221340
49,,NYPD,New York City Police Department,1010907501,MANHATTAN,NEW YORK,,04 MANHATTAN,Noise - Residential,2020-03-26T00:12:31.000,11 AVENUE,12 AVENUE,Loud Music/Party,,635 WEST   42 STREET,10036,11 AVENUE,12 AVENUE,WEST   42 STREET,40.76146240737877,"{'type': 'Point', 'coordinates': [-73.99981590122208, 40.76146240737877]}",,,,Residential Building/House,,-73.99981590122208,ONLINE,MANHATTAN,Unspecified,,,In Progress,WEST   42 STREET,,45895579,984301,216698
50,,DOHMH,Department of Health and Mental Hygiene,4046620033,QUEENS,WHITESTONE,,07 QUEENS,Smoking,2020-03-26T00:12:44.000,CROSS ISLAND PARKWAY,15 ROAD,Smoking Violation,,15-06 150 STREET,11357,CROSS ISLAND PARKWAY,15 ROAD,150 STREET,40.78674419278349,"{'type': 'Point', 'coordinates': [-73.81346587165788, 40.78674419278349]}",,,,Residential Building,,-73.81346587165788,PHONE,QUEENS,Unspecified,,,In Progress,150 STREET,,45895129,1035905,225964
51,,NYPD,New York City Police Department,4021130034,QUEENS,REGO PARK,,06 QUEENS,Noise - Residential,2020-03-26T00:14:46.000,99 STREET,102 STREET,Banging/Pounding,,99-65 64 ROAD,11374,99 STREET,102 STREET,64 ROAD,40.730883886767586,"{'type': 'Point', 'coordinates': [-73.85397195881608, 40.730883886767586]}",,,,,,-73.85397195881608,PHONE,QUEENS,Unspecified,2020-03-26T04:26:58.000,Your complaint has been received by the Police Department and additional information will be availab,In Progress,64 ROAD,,45896118,1024722,205591
