,address_type,agency,agency_name,bbl,borough,bridge_highway_direction,bridge_highway_segment,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,latitude,location,location_address,location_city,location_state,location_type,location_zip,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,road_ramp,status,street_name,taxi_pick_up_location,unique_key,vehicle_type,x_coordinate_state_plane,y_coordinate_state_plane
16,,NYPD,New York City Police Department,2032140005,BRONX,,,BRONX,2020-03-24T06:08:11.000,07 BRONX,Noise - Residential,2020-03-24T00:10:46.000,WEST  190 STREET,WEST  192 STREET,Banging/Pounding,,,2512 UNIVERSITY AVENUE,10468,WEST  190 STREET,WEST  192 STREET,UNIVERSITY AVENUE,40.865685364854315,"{'type': 'Point', 'coordinates': [-73.90303395037606, 40.865685364854315]}",,,,Residential Building/House,,-73.90303395037606,ONLINE,BRONX,Unspecified,2020-03-24T10:08:19.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,UNIVERSITY AVENUE,,45880484,,1011070,254685
17,,NYPD,New York City Police Department,,BRONX,,,BRONX,2020-03-24T00:38:24.000,04 BRONX,Noise - Residential,2020-03-24T00:12:13.000,TELLER AVENUE,CLAY AVENUE,Banging/Pounding,,,364E EAST  170 STREET,10456,TELLER AVENUE,CLAY AVENUE,EAST  170 STREET,40.83702162049141,"{'type': 'Point', 'coordinates': [-73.90879650250979, 40.83702162049141]}",,,,Residential Building/House,,-73.90879650250979,ONLINE,BRONX,Unspecified,2020-03-24T04:38:28.000,The Police Department responded to the complaint and determined that police action was not necessary,,Closed,EAST  170 STREET,,45882527,,1009487,244240
18,,NYPD,New York City Police Department,1020650026,MANHATTAN,,,NEW YORK,2020-03-24T00:43:21.000,09 MANHATTAN,Noise - Residential,2020-03-24T00:12:32.000,WEST  150 STREET,WEST  151 STREET,Banging/Pounding,,,801 SAINT NICHLAS AVENUE,10031,WEST  150 STREET,WEST  151 STREET,ST NICHOLAS AVENUE,40.82745069965154,"{'type': 'Point', 'coordinates': [-73.94274992256862, 40.82745069965154]}",,,,,,-73.94274992256862,PHONE,MANHATTAN,Unspecified,2020-03-24T04:43:25.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,SAINT NICHLAS AVENUE,,45881931,,1000094,240745
19,,NYPD,New York City Police Department,3050570024,BROOKLYN,,,BROOKLYN,,09 BROOKLYN,Noise - Commercial,2020-03-24T00:14:01.000,ROGERS AVENUE,NOSTRAND AVENUE,Banging/Pounding,,,640 PARKSIDE AVENUE,11226,ROGERS AVENUE,NOSTRAND AVENUE,PARKSIDE AVENUE,40.656141314779155,"{'type': 'Point', 'coordinates': [-73.95195759784171, 40.656141314779155]}",,,,Store/Commercial,,-73.95195759784171,MOBILE,BROOKLYN,Unspecified,,,,In Progress,PARKSIDE AVENUE,,45879735,,997580,178330
20,,NYPD,New York City Police Department,3043220055,BROOKLYN,,,BROOKLYN,2020-03-24T01:19:52.000,05 BROOKLYN,Blocked Driveway,2020-03-24T00:14:15.000,HEGEMAN AVENUE,LINDEN BOULEVARD,No Access,,,733 SHEFFIELD AVENUE,11207,HEGEMAN AVENUE,LINDEN BOULEVARD,SHEFFIELD AVENUE,40.65922163663214,"{'type': 'Point', 'coordinates': [-73.89218611964101, 40.65922163663214]}",,,,,,-73.89218611964101,UNKNOWN,BROOKLYN,Unspecified,2020-03-24T05:20:01.000,Your request can not be processed at this time because of insufficient contact information. Please c,,Closed,SHEFFIELD AVENUE,,45881948,,1014163,179467
21,,NYPD,New York City Police Department,1021170044,MANHATTAN,,,NEW YORK,2020-03-24T06:30:19.000,12 MANHATTAN,Abandoned Vehicle,2020-03-24T00:14:29.000,AMSTERDAM AVENUE,BROADWAY,With License Plate,,,507 WEST  158 STREET,10032,AMSTERDAM AVENUE,BROADWAY,WEST  158 STREET,40.83371655749896,"{'type': 'Point', 'coordinates': [-73.94210129215807, 40.83371655749896]}",,,,Street/Sidewalk,,-73.94210129215807,MOBILE,MANHATTAN,Unspecified,2020-03-24T10:30:24.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,WEST  158 STREET,,45883990,,1000272,243028
22,,NYPD,New York City Police Department,5004980014,STATEN ISLAND,,,STATEN ISLAND,2020-03-24T02:17:34.000,01 STATEN ISLAND,Noise - Residential,2020-03-24T00:15:21.000,ST PAULS AVENUE,HANNAH STREET,Loud Music/Party,,,75 VAN DUZER STREET,10301,ST PAULS AVENUE,HANNAH STREET,VAN DUZER STREET,40.63647547187734,"{'type': 'Point', 'coordinates': [-74.0772775589147, 40.63647547187734]}",,,,Residential Building/House,,-74.0772775589147,ONLINE,STATEN ISLAND,Unspecified,2020-03-24T06:17:41.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,VAN DUZER STREET,,45883349,,962802,171171
23,ADDRESS,HPD,Department of Housing Preservation and Development,4108230018,QUEENS,,,Hollis,2020-03-25T21:20:46.000,12 QUEENS,HEAT/HOT WATER,2020-03-24T00:15:59.000,,,ENTIRE BUILDING,,,91-21 195 STREET,11423,,,,40.712908612234344,"{'type': 'Point', 'coordinates': [-73.76595337169503, 40.712908612234344]}",,,,RESIDENTIAL BUILDING,,-73.76595337169503,ONLINE,QUEENS,Unspecified,2020-03-25T21:20:46.000,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",,Closed,195 STREET,,45890375,,1049134,199095
24,INTERSECTION,DEP,Department of Environmental Protection,,BROOKLYN,,,BROOKLYN,2020-03-24T02:10:00.000,12 BROOKLYN,Hazardous Materials,2020-03-24T00:16:00.000,,,"Oil Spill On Street, Large (HQL)",,N/A,,11219,50 STREET,13 AVENUE,,40.63446732018406,"{'type': 'Point', 'coordinates': [-73.99270050340812, 40.63446732018406]}",,,,,,-73.99270050340812,PHONE,BROOKLYN,Unspecified,2020-03-24T02:10:00.000,The Department of Environmental Protection investigated this complaint and determined that no further action is required.,,Closed,,,45885238,,986276,170430
25,BLOCKFACE,DOT,Department of Transportation,,QUEENS,,,,2020-03-24T12:29:00.000,Unspecified QUEENS,Street Light Condition,2020-03-24T00:17:00.000,188 ST,,Lamppost Knocked Down,,,GRAND CENTRAL PKWY,,,,,,,,,,,,,UNKNOWN,QUEENS,Unspecified,2020-03-24T12:29:00.000,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,,Closed,GRAND CENTRAL PKWY,,45883104,,,
26,,NYPD,New York City Police Department,1019440043,MANHATTAN,,,NEW YORK,2020-03-24T01:30:03.000,10 MANHATTAN,Blocked Driveway,2020-03-24T00:17:12.000,FREDERICK DOUGLASS BOULEVARD,MANHATTAN AVENUE,Partial Access,,,318 WEST  118 STREET,10026,FREDERICK DOUGLASS BOULEVARD,MANHATTAN AVENUE,WEST  118 STREET,40.80601168021016,"{'type': 'Point', 'coordinates': [-73.95511846289004, 40.80601168021016]}",,,,Street/Sidewalk,,-73.95511846289004,MOBILE,MANHATTAN,Unspecified,2020-03-24T05:30:10.000,The Police Department responded to the complaint and determined that police action was not necessary,,Closed,WEST  118 STREET,,45881867,,996675,232932
27,,NYPD,New York City Police Department,2037730005,BRONX,,,BRONX,2020-03-24T03:36:17.000,09 BRONX,Noise - Residential,2020-03-24T00:17:25.000,ELDER AVENUE,BOYNTON AVENUE,Loud Music/Party,,,1531 WESTCHESTER AVENUE,10472,ELDER AVENUE,BOYNTON AVENUE,WESTCHESTER AVENUE,40.82864159147007,"{'type': 'Point', 'coordinates': [-73.87857083028321, 40.82864159147007]}",,,,Residential Building/House,,-73.87857083028321,MOBILE,BRONX,Unspecified,2020-03-24T07:36:24.000,The Police Department responded to the complaint and determined that police action was not necessary,,Closed,WESTCHESTER AVENUE,,45880487,,1017855,241197
28,,NYPD,New York City Police Department,4023140001,QUEENS,,,WOODSIDE,2020-03-24T05:24:45.000,02 QUEENS,Illegal Parking,2020-03-24T00:17:26.000,59 STREET,59 PLACE,Posted Parking Sign Violation,,,59-10 QUEENS BOULEVARD,11377,59 STREET,59 PLACE,QUEENS BOULEVARD,40.74165349266677,"{'type': 'Point', 'coordinates': [-73.90582717153806, 40.74165349266677]}",,,,Street/Sidewalk,,-73.90582717153806,MOBILE,QUEENS,Unspecified,2020-03-24T09:24:47.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,QUEENS BOULEVARD,,45882604,,1010346,209495
29,,DOHMH,Department of Health and Mental Hygiene,1004290047,MANHATTAN,,,NEW YORK,,03 MANHATTAN,Rodent,2020-03-24T00:27:59.000,LUDLOW STREET,AVENUE A,Rat Sighting,,,110 EAST    1 STREET,10002,LUDLOW STREET,AVENUE A,EAST    1 STREET,40.722414837417894,"{'type': 'Point', 'coordinates': [-73.98689696077123, 40.722414837417894]}",,,,Other (Explain Below),,-73.98689696077123,PHONE,MANHATTAN,Unspecified,,,,In Progress,EAST    1 STREET,,45882691,,987882,202472
30,,NYPD,New York City Police Department,2022980040,BRONX,,,BRONX,2020-03-24T01:06:58.000,01 BRONX,Noise - Residential,2020-03-24T00:28:18.000,ALEXANDER AVENUE,DEAD END,Loud Music/Party,,,350 EAST  137 STREET,10454,ALEXANDER AVENUE,DEAD END,EAST  137 STREET,40.80923225683711,"{'type': 'Point', 'coordinates': [-73.92531783756517, 40.80923225683711]}",,,,,,-73.92531783756517,PHONE,BRONX,Unspecified,2020-03-24T05:07:00.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,EAST  137 STREET,,45882613,,1004924,234111
31,,NYPD,New York City Police Department,2031570064,BRONX,,,BRONX,2020-03-24T11:26:08.000,05 BRONX,Noise - Residential,2020-03-24T00:28:45.000,EAST  181 STREET,EAST  182 STREET,Banging/Pounding,,,2165 RYER AVENUE,10457,EAST  181 STREET,EAST  182 STREET,RYER AVENUE,40.85455863917999,"{'type': 'Point', 'coordinates': [-73.90015830400407, 40.85455863917999]}",,,,Residential Building/House,,-73.90015830400407,PHONE,BRONX,Unspecified,2020-03-24T15:26:12.000,The Police Department issued a summons in response to the complaint.,,Closed,RYER AVENUE,,45884677,,1011870,250632
32,,NYPD,New York City Police Department,4040190130,QUEENS,,,COLLEGE POINT,2020-03-24T03:08:50.000,07 QUEENS,Noise - Residential,2020-03-24T00:28:57.000,DEAD END,BEND,Banging/Pounding,,,114-11 TAIPEI COURT,11356,DEAD END,BEND,TAIPEI COURT,40.78880662986571,"{'type': 'Point', 'coordinates': [-73.85423854340983, 40.78880662986571]}",,,,Residential Building/House,,-73.85423854340983,ONLINE,QUEENS,Unspecified,2020-03-24T07:08:54.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,TAIPEI COURT,,45884676,,1024613,226694
33,INTERSECTION,DOT,Department of Transportation,,BRONX,,,,2020-03-24T00:55:00.000,Unspecified BRONX,Traffic Signal Condition,2020-03-24T00:30:00.000,,,LED Lense,,N/A,,,3 AVE,187 ST E,,,,,,,,,,UNKNOWN,BRONX,Unspecified,2020-03-24T00:55:00.000,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,,Closed,,,45887407,,,
34,,NYPD,New York City Police Department,1020730044,MANHATTAN,,,NEW YORK,2020-03-24T01:34:20.000,09 MANHATTAN,Noise - Vehicle,2020-03-24T00:30:31.000,HAMILTON PLACE,BROADWAY,Engine Idling,,,506 WEST  142 STREET,10031,HAMILTON PLACE,BROADWAY,WEST  142 STREET,40.823740486452515,"{'type': 'Point', 'coordinates': [-73.9500372432998, 40.823740486452515]}",,,,Street/Sidewalk,,-73.9500372432998,MOBILE,MANHATTAN,Unspecified,2020-03-24T05:34:23.000,The Police Department responded and upon arrival those responsible for the condition were gone.,,Closed,WEST  142 STREET,,45880253,,998078,239392
35,ADDRESS,DEP,Department of Environmental Protection,3073340034,BROOKLYN,,,BROOKLYN,2020-03-24T07:00:00.000,15 BROOKLYN,Noise,2020-03-24T00:31:00.000,E 29 ST,NOSTRAND AVE,Noise: Construction Before/After Hours (NM1),,N/A,2925 AVENUE U,11229,,,,40.600420256103526,"{'type': 'Point', 'coordinates': [-73.94204432338928, 40.600420256103526]}",,,,,,-73.94204432338928,ONLINE,BROOKLYN,Unspecified,2020-03-24T07:00:00.000,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",,Closed,AVENUE U,,45888609,,1000344,158031
36,ADDRESS,DEP,Department of Environmental Protection,1007740019,MANHATTAN,,,NEW YORK,2020-03-24T22:00:00.000,04 MANHATTAN,Noise,2020-03-24T00:31:00.000,7 AVE,8 AVE,Noise: Construction Before/After Hours (NM1),,N/A,225 WEST   24 STREET,10011,,,,40.74515580245555,"{'type': 'Point', 'coordinates': [-73.99607352069437, 40.74515580245555]}",,,,,,-73.99607352069437,ONLINE,MANHATTAN,Unspecified,2020-03-24T22:00:00.000,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",,Closed,WEST   24 STREET,,45885228,,985338,210757
37,,NYPD,New York City Police Department,1004460001,MANHATTAN,,,NEW YORK,2020-03-24T00:56:56.000,03 MANHATTAN,Noise - Street/Sidewalk,2020-03-24T00:31:30.000,2 AVENUE,1 AVENUE,Loud Talking,,,91 EAST FOURTH STREET,10003,2 AVENUE,1 AVENUE,EAST    4 STREET,40.72613423087583,"{'type': 'Point', 'coordinates': [-73.98928463699183, 40.72613423087583]}",,,,Street/Sidewalk,,-73.98928463699183,MOBILE,MANHATTAN,Unspecified,2020-03-24T04:57:06.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,EAST FOURTH STREET,,45882955,,987220,203827
38,,NYPD,New York City Police Department,4017540053,QUEENS,,,CORONA,2020-03-24T02:48:51.000,03 QUEENS,Blocked Driveway,2020-03-24T00:31:55.000,34 AVENUE,37 AVENUE,Partial Access,,,34-72 111 STREET,11368,34 AVENUE,37 AVENUE,111 STREET,40.75504163652767,"{'type': 'Point', 'coordinates': [-73.85709169499263, 40.75504163652767]}",,,,,,-73.85709169499263,PHONE,QUEENS,Unspecified,2020-03-24T06:49:11.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,111 STREET,,45884061,,1023843,214391
39,,NYPD,New York City Police Department,4119880013,QUEENS,,,JAMAICA,2020-03-24T01:37:26.000,12 QUEENS,Noise - Residential,2020-03-24T00:32:09.000,115 AVENUE,116 AVENUE,Loud Music/Party,,,115-18 145 STREET,11436,115 AVENUE,116 AVENUE,145 STREET,40.682617408073625,"{'type': 'Point', 'coordinates': [-73.79789645496206, 40.682617408073625]}",,,,Residential Building/House,,-73.79789645496206,ONLINE,QUEENS,Unspecified,2020-03-24T05:37:33.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,145 STREET,,45882911,,1040304,188037
40,,NYPD,New York City Police Department,4155630056,QUEENS,,,FAR ROCKAWAY,2020-03-24T04:11:35.000,14 QUEENS,Noise - Residential,2020-03-24T00:32:25.000,MOTT AVENUE,EVERDELL AVENUE,Banging/Pounding,,,14-50 GATEWAY BOULEVARD,11691,MOTT AVENUE,EVERDELL AVENUE,GATEWAY BOULEVARD,40.601730911210474,"{'type': 'Point', 'coordinates': [-73.749050342286, 40.601730911210474]}",,,,,,-73.749050342286,PHONE,QUEENS,Unspecified,2020-03-24T08:11:42.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,GATEWAY BOULEVARD,,45883296,,1053936,158603
41,,NYPD,New York City Police Department,,QUEENS,,,,2020-03-24T01:37:05.000,12 QUEENS,Noise - Residential,2020-03-24T00:33:15.000,115 AVENUE,145 STREET,Loud Music/Party,,,115 AVENUE,11436,115 AVENUE,145 STREET,,40.68310638129709,"{'type': 'Point', 'coordinates': [-73.79812572808223, 40.68310638129709]}",,,,Residential Building/House,,-73.79812572808223,PHONE,QUEENS,Unspecified,2020-03-24T05:37:09.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,115 AVENUE,,45882953,,1040240,188215
42,,NYPD,New York City Police Department,1021710052,MANHATTAN,,,NEW YORK,2020-03-24T07:22:12.000,12 MANHATTAN,Noise - Street/Sidewalk,2020-03-24T00:33:48.000,BEND,BEND,Loud Music/Party,,,34 HILLSIDE AVENUE,10040,BEND,BEND,HILLSIDE AVENUE,40.85844745053305,"{'type': 'Point', 'coordinates': [-73.92927888866892, 40.85844745053305]}",,,,Street/Sidewalk,,-73.92927888866892,ONLINE,MANHATTAN,Unspecified,2020-03-24T11:22:15.000,The Police Department responded and upon arrival those responsible for the condition were gone.,,Closed,HILLSIDE AVENUE,,45880458,,1003813,252041
