,address_type,agency,agency_name,bbl,borough,bridge_highway_direction,bridge_highway_segment,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,latitude,location,location_address,location_city,location_state,location_type,location_zip,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,road_ramp,status,street_name,taxi_company_borough,taxi_pick_up_location,unique_key,vehicle_type,x_coordinate_state_plane,y_coordinate_state_plane
10,,NYPD,New York City Police Department,2027940062,BRONX,,,BRONX,2020-03-25T02:46:02.000,04 BRONX,Noise - Residential,2020-03-25T00:03:30.000,MORRIS AVENUE,EASTBURN AVENUE,Loud Music/Party,,,221 EAST  173 STREET,10457,MORRIS AVENUE,EASTBURN AVENUE,EAST  173 STREET,40.84375720619114,"{'type': 'Point', 'coordinates': [-73.90888123834658, 40.84375720619114]}",,,,Residential Building/House,,-73.90888123834658,PHONE,BRONX,Unspecified,2020-03-25T06:46:08.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,EAST  173 STREET,,,45887097,,1009461,246694
11,,NYPD,New York City Police Department,2044270007,BRONX,,,BRONX,2020-03-25T13:05:57.000,11 BRONX,Noise - Residential,2020-03-25T00:04:01.000,MACE AVENUE,ALLERTON AVENUE,Loud Music/Party,,,2504 BRONX PARK EAST,10467,MACE AVENUE,ALLERTON AVENUE,BRONX PARK EAST,40.86361400724502,"{'type': 'Point', 'coordinates': [-73.87039417599681, 40.86361400724502]}",,,,,,-73.87039417599681,PHONE,BRONX,Unspecified,2020-03-25T17:06:01.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,BRONX PARK EAST,,,45885399,,1020099,253942
12,,NYPD,New York City Police Department,1003430070,MANHATTAN,,,NEW YORK,2020-03-25T02:29:34.000,03 MANHATTAN,Noise - Street/Sidewalk,2020-03-25T00:04:10.000,DELANCEY STREET,RIVINGTON STREET,Loud Music/Party,,,47 PITT STREET,10002,DELANCEY STREET,RIVINGTON STREET,PITT STREET,40.71731731571966,"{'type': 'Point', 'coordinates': [-73.98303805657083, 40.71731731571966]}",,,,Street/Sidewalk,,-73.98303805657083,ONLINE,MANHATTAN,Unspecified,2020-03-25T06:29:42.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,PITT STREET,,,45890740,,988952,200615
13,,NYPD,New York City Police Department,3038860081,BROOKLYN,,,BROOKLYN,,05 BROOKLYN,Noise - Residential,2020-03-25T00:04:17.000,HENDRIX STREET,BARBEY STREET,Loud Music/Party,,,165 SUNNYSIDE AVENUE,11207,HENDRIX STREET,BARBEY STREET,SUNNYSIDE AVENUE,40.682073710127426,"{'type': 'Point', 'coordinates': [-73.8911756926845, 40.682073710127426]}",,,,Residential Building/House,,-73.8911756926845,MOBILE,BROOKLYN,Unspecified,,,,In Progress,SUNNYSIDE AVENUE,,,45889329,,1014433,187793
14,,NYPD,New York City Police Department,1004777502,MANHATTAN,,,NEW YORK,2020-03-25T01:33:33.000,02 MANHATTAN,Noise - Street/Sidewalk,2020-03-25T00:05:22.000,AVENUE OF THE AMERICAS,VARICK STREET,Loud Talking,,,565 BROOME STREET,10013,AVENUE OF THE AMERICAS,VARICK STREET,BROOME STREET,40.72437519160271,"{'type': 'Point', 'coordinates': [-74.00584819694839, 40.72437519160271]}",,,,Street/Sidewalk,,-74.00584819694839,ONLINE,MANHATTAN,Unspecified,2020-03-25T05:33:35.000,The Police Department responded and upon arrival those responsible for the condition were gone.,,Closed,BROOME STREET,,,45887001,,982629,203186
15,,NYPD,New York City Police Department,,BROOKLYN,,,,2020-03-25T01:40:18.000,14 BROOKLYN,Noise - Vehicle,2020-03-25T00:05:32.000,DORCHESTER ROAD,EAST   21 STREET,Car/Truck Music,,,DORCHESTER ROAD,11226,DORCHESTER ROAD,EAST   21 STREET,,40.64193133882472,"{'type': 'Point', 'coordinates': [-73.95840695095728, 40.64193133882472]}",,,,Street/Sidewalk,,-73.95840695095728,PHONE,BROOKLYN,Unspecified,2020-03-25T05:40:22.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,DORCHESTER ROAD,,,45889242,,995793,173152
16,,NYPD,New York City Police Department,4114580063,QUEENS,,,HOWARD BEACH,2020-03-25T00:43:10.000,10 QUEENS,Animal-Abuse,2020-03-25T00:07:16.000,155 AVENUE,156 AVENUE,Chained,,,155-35 78 STREET,11414,155 AVENUE,156 AVENUE,78 STREET,40.66310092019664,"{'type': 'Point', 'coordinates': [-73.85547562534533, 40.66310092019664]}",,,,Residential Building/House,,-73.85547562534533,PHONE,QUEENS,Unspecified,2020-03-25T04:43:17.000,The Police Department responded to the complaint but officers were unable to gain entry into the pre,,Closed,78 STREET,,,45887351,,1024346,180895
17,,NYPD,New York City Police Department,1018430015,MANHATTAN,,,NEW YORK,2020-03-25T01:59:50.000,07 MANHATTAN,Noise - Residential,2020-03-25T00:08:19.000,WEST  107 STREET,WEST  108 STREET,Loud Music/Party,,,157 MANHATTAN AVENUE,10025,WEST  107 STREET,WEST  108 STREET,MANHATTAN AVENUE,40.799489565613385,"{'type': 'Point', 'coordinates': [-73.96088013721265, 40.799489565613385]}",,,,Residential Building/House,,-73.96088013721265,PHONE,MANHATTAN,Unspecified,2020-03-25T05:59:54.000,The Police Department responded to the complaint but officers were unable to gain entry into the pre,,Closed,MANHATTAN AVENUE,,,45889266,,995081,230555
18,,NYPD,New York City Police Department,3032590016,BROOKLYN,,,BROOKLYN,2020-03-25T01:09:08.000,04 BROOKLYN,Noise - Vehicle,2020-03-25T00:08:37.000,IRVING AVENUE,WYCKOFF AVENUE,Car/Truck Horn,,,302 STOCKHOLM STREET,11237,IRVING AVENUE,WYCKOFF AVENUE,STOCKHOLM STREET,40.70289134753012,"{'type': 'Point', 'coordinates': [-73.91943917617884, 40.70289134753012]}",,,,Street/Sidewalk,,-73.91943917617884,MOBILE,BROOKLYN,Unspecified,2020-03-25T05:09:12.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,STOCKHOLM STREET,,,45890861,,1006587,195369
19,,NYPD,New York City Police Department,3038860083,BROOKLYN,,,BROOKLYN,,05 BROOKLYN,Noise - Residential,2020-03-25T00:08:43.000,HENDRIX STREET,BARBEY STREET,Loud Music/Party,,,159 SUNNYSIDE AVENUE,11207,HENDRIX STREET,BARBEY STREET,SUNNYSIDE AVENUE,40.6820189271846,"{'type': 'Point', 'coordinates': [-73.89129476300215, 40.6820189271846]}",,,,Residential Building/House,,-73.89129476300215,MOBILE,BROOKLYN,Unspecified,,,,In Progress,SUNNYSIDE AVENUE,,,45887098,,1014400,187773
20,,NYPD,New York City Police Department,2029820027,BRONX,,,BRONX,2020-03-25T08:53:54.000,03 BRONX,Noise - Residential,2020-03-25T00:09:02.000,SOUTHERN BOULEVARD,HOE AVENUE,Loud Talking,,,932 EAST  173 STREET,10460,SOUTHERN BOULEVARD,HOE AVENUE,EAST  173 STREET,40.835504863783285,"{'type': 'Point', 'coordinates': [-73.88818185441696, 40.835504863783285]}",,,,Residential Building/House,,-73.88818185441696,ONLINE,BRONX,Unspecified,2020-03-25T12:53:56.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,EAST  173 STREET,,,45888711,,1015192,243694
21,ADDRESS,DHS,Department of Homeless Services,,QUEENS,,,,2020-03-25T08:25:24.000,Unspecified QUEENS,Homeless Person Assistance,2020-03-25T00:10:11.000,38 AVENUE,39 AVENUE,,,,CRESCENT STREET,11101,38 AVENUE,39 AVENUE,,,,,,,N/A,,,PHONE,QUEENS,Unspecified,2020-03-25T08:25:24.000,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",,Closed,CRESCENT STREET,,,45887876,,,
22,,NYPD,New York City Police Department,2039320026,BRONX,,,BRONX,2020-03-25T05:33:17.000,09 BRONX,Noise - Residential,2020-03-25T00:11:57.000,PUGSLEY AVENUE,OLMSTEAD AVENUE,Banging/Pounding,,,2037 WESTCHESTER AVENUE,10462,PUGSLEY AVENUE,OLMSTEAD AVENUE,WESTCHESTER AVENUE,40.833702172690266,"{'type': 'Point', 'coordinates': [-73.85647825209925, 40.833702172690266]}",,,,Residential Building/House,,-73.85647825209925,ONLINE,BRONX,Unspecified,2020-03-25T09:33:19.000,The Police Department responded to the complaint and determined that police action was not necessary,,Closed,WESTCHESTER AVENUE,,,45889967,,1023966,243050
23,,NYPD,New York City Police Department,5002180015,STATEN ISLAND,,,STATEN ISLAND,2020-03-25T02:45:17.000,01 STATEN ISLAND,Noise - Residential,2020-03-25T00:12:18.000,CARY AVENUE,DELAFIELD AVENUE,Loud Music/Party,,,111 ELIZABETH STREET,10310,CARY AVENUE,DELAFIELD AVENUE,ELIZABETH STREET,40.631357918859564,"{'type': 'Point', 'coordinates': [-74.12028480462607, 40.631357918859564]}",,,,Residential Building/House,,-74.12028480462607,ONLINE,STATEN ISLAND,Unspecified,2020-03-25T06:45:22.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,ELIZABETH STREET,,,45890795,,950863,169320
24,,NYPD,New York City Police Department,4095450006,QUEENS,,,OZONE PARK,2020-03-25T02:21:41.000,10 QUEENS,Blocked Driveway,2020-03-25T00:14:27.000,107 STREET,108 STREET,No Access,,,107-12 107 AVENUE,11417,107 STREET,108 STREET,107 AVENUE,40.68147216437516,"{'type': 'Point', 'coordinates': [-73.83346055823057, 40.68147216437516]}",,,,Street/Sidewalk,,-73.83346055823057,PHONE,QUEENS,Unspecified,2020-03-25T06:21:46.000,The Police Department responded and upon arrival those responsible for the condition were gone.,,Closed,107 AVENUE,,,45888152,,1030441,187599
25,,NYPD,New York City Police Department,3000680001,BROOKLYN,,,BROOKLYN,2020-03-25T02:32:39.000,02 BROOKLYN,Noise - Residential,2020-03-25T00:14:42.000,BQE WESTBOUND ENTRANCE SANDS ST,BIKE PATH,Banging/Pounding,,,177 SANDS STREET,11201,BQE WESTBOUND ENTRANCE SANDS ST,BIKE PATH,SANDS STREET,40.699800319891985,"{'type': 'Point', 'coordinates': [-73.98361593748928, 40.699800319891985]}",,,,Residential Building/House,,-73.98361593748928,ONLINE,BROOKLYN,Unspecified,2020-03-25T06:32:47.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,SANDS STREET,,,45885391,,988793,194233
26,,NYPD,New York City Police Department,2032140005,BRONX,,,BRONX,,07 BRONX,Noise - Residential,2020-03-25T00:14:53.000,WEST  190 STREET,WEST  192 STREET,Loud Talking,,,2512 UNIVERSITY AVENUE,10468,WEST  190 STREET,WEST  192 STREET,UNIVERSITY AVENUE,40.865685364854315,"{'type': 'Point', 'coordinates': [-73.90303395037606, 40.865685364854315]}",,,,Residential Building/House,,-73.90303395037606,MOBILE,BRONX,Unspecified,,,,In Progress,UNIVERSITY AVENUE,,,45886482,,1011070,254685
27,,NYPD,New York City Police Department,4004900101,QUEENS,,,ASTORIA,2020-03-25T01:46:51.000,01 QUEENS,Noise - Residential,2020-03-25T00:14:58.000,3 STREET,4 STREET,Loud Music/Party,,,3-20 27 AVENUE,11102,3 STREET,4 STREET,27 AVENUE,40.77493122194424,"{'type': 'Point', 'coordinates': [-73.93410818506266, 40.77493122194424]}",,,,Residential Building/House,,-73.93410818506266,ONLINE,QUEENS,Unspecified,2020-03-25T05:46:56.000,The Police Department responded to the complaint and a report was prepared.,,Closed,27 AVENUE,,,45885645,,1002500,221612
28,,NYPD,New York City Police Department,4088920050,QUEENS,,,WOODHAVEN,2020-03-25T03:20:55.000,09 QUEENS,Noise - Residential,2020-03-25T00:15:00.000,PARK LANE SOUTH,JAMAICA AVENUE,Loud Talking,,,86-30 98 STREET,11421,PARK LANE SOUTH,JAMAICA AVENUE,98 STREET,40.696539816491935,"{'type': 'Point', 'coordinates': [-73.84851155738225, 40.696539816491935]}",,,,Residential Building/House,,-73.84851155738225,ONLINE,QUEENS,Unspecified,2020-03-25T07:20:57.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,98 STREET,,,45887238,,1026257,193081
29,,NYPD,New York City Police Department,2027820104,BRONX,,,BRONX,2020-03-25T02:45:47.000,04 BRONX,Noise - Residential,2020-03-25T00:15:20.000,TELLER AVENUE,CLAY AVENUE,Banging/Pounding,,,364 EAST  170 STREET,10456,TELLER AVENUE,CLAY AVENUE,EAST  170 STREET,40.83702162049141,"{'type': 'Point', 'coordinates': [-73.90879650250979, 40.83702162049141]}",,,,Residential Building/House,,-73.90879650250979,ONLINE,BRONX,Unspecified,2020-03-25T06:45:52.000,The Police Department responded to the complaint but officers were unable to gain entry into the pre,,Closed,EAST  170 STREET,,,45887870,,1009487,244240
30,,NYPD,New York City Police Department,3000680001,BROOKLYN,,,BROOKLYN,2020-03-25T02:32:26.000,02 BROOKLYN,Noise - Residential,2020-03-25T00:16:22.000,BQE WESTBOUND ENTRANCE SANDS ST,BIKE PATH,Banging/Pounding,,,177 SANDS STREET,11201,BQE WESTBOUND ENTRANCE SANDS ST,BIKE PATH,SANDS STREET,40.699800319891985,"{'type': 'Point', 'coordinates': [-73.98361593748928, 40.699800319891985]}",,,,Residential Building/House,,-73.98361593748928,ONLINE,BROOKLYN,Unspecified,2020-03-25T06:32:32.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,SANDS STREET,,,45889966,,988793,194233
31,,NYPD,New York City Police Department,4021000021,QUEENS,,,REGO PARK,2020-03-25T04:21:51.000,06 QUEENS,Illegal Parking,2020-03-25T00:16:57.000,98 STREET,99 STREET,Blocked Hydrant,,,98-33 64 AVENUE,11374,98 STREET,99 STREET,64 AVENUE,40.7305481592761,"{'type': 'Point', 'coordinates': [-73.85766379125519, 40.7305481592761]}",,,,,,-73.85766379125519,PHONE,QUEENS,Unspecified,2020-03-25T08:21:56.000,The Police Department issued a summons in response to the complaint.,,Closed,64 AVENUE,,,45889314,,1023699,205467
32,,NYPD,New York City Police Department,4093000061,QUEENS,,,RICHMOND HILL,2020-03-25T06:14:39.000,09 QUEENS,Noise - Residential,2020-03-25T00:17:27.000,JAMAICA AVENUE,91 AVENUE,Loud Music/Party,,,87-39 110 STREET,11418,JAMAICA AVENUE,91 AVENUE,110 STREET,40.6959598347402,"{'type': 'Point', 'coordinates': [-73.83782758829211, 40.6959598347402]}",,,,Residential Building/House,,-73.83782758829211,MOBILE,QUEENS,Unspecified,2020-03-25T10:14:45.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,110 STREET,,,45890662,,1029220,192875
33,,NYPD,New York City Police Department,1019930102,MANHATTAN,,,NEW YORK,2020-03-25T03:28:23.000,09 MANHATTAN,Noise - Street/Sidewalk,2020-03-25T00:17:52.000,LA SALLE STREET,TIEMANN PLACE,Loud Music/Party,,,192 CLAREMONT AVENUE,10027,LA SALLE STREET,TIEMANN PLACE,CLAREMONT AVENUE,40.81495033685791,"{'type': 'Point', 'coordinates': [-73.96012322412237, 40.81495033685791]}",,,,Street/Sidewalk,,-73.96012322412237,MOBILE,MANHATTAN,Unspecified,2020-03-25T07:28:29.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,CLAREMONT AVENUE,,,45888632,,995288,236188
34,,NYPD,New York City Police Department,3017590035,BROOKLYN,,,BROOKLYN,2020-03-25T09:06:38.000,03 BROOKLYN,Noise - Residential,2020-03-25T00:18:01.000,MARCY AVENUE,TOMPKINS AVENUE,Loud Music/Party,,,130 VERNON AVENUE,11206,MARCY AVENUE,TOMPKINS AVENUE,VERNON AVENUE,40.6948624450726,"{'type': 'Point', 'coordinates': [-73.9470433299372, 40.6948624450726]}",,,,Residential Building/House,,-73.9470433299372,ONLINE,BROOKLYN,Unspecified,2020-03-25T13:06:41.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,VERNON AVENUE,,,45885389,,998935,192438
35,,NYPD,New York City Police Department,1004070018,MANHATTAN,,,NEW YORK,2020-03-25T01:45:42.000,03 MANHATTAN,Noise - Residential,2020-03-25T00:18:11.000,AVENUE A,AVENUE B,Loud Music/Party,,,520 EAST   14 STREET,10009,AVENUE A,AVENUE B,EAST   14 STREET,40.72998101705413,"{'type': 'Point', 'coordinates': [-73.97930047585454, 40.72998101705413]}",,,,Residential Building/House,,-73.97930047585454,PHONE,MANHATTAN,Unspecified,2020-03-25T05:45:46.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,EAST   14 STREET,,,45888533,,989987,205229
36,,NYPD,New York City Police Department,1019330050,MANHATTAN,,,NEW YORK,2020-03-25T06:55:15.000,10 MANHATTAN,Noise - Residential,2020-03-25T00:18:22.000,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,Banging/Pounding,,,200 WEST  131 STREET,10027,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,WEST  131 STREET,40.81281181632886,"{'type': 'Point', 'coordinates': [-73.94573926927536, 40.81281181632886]}",,,,Residential Building/House,,-73.94573926927536,ONLINE,MANHATTAN,Unspecified,2020-03-25T10:55:19.000,The Police Department responded to the complaint and determined that police action was not necessary,,Closed,WEST  131 STREET,,,45885378,,999270,235411
37,,NYPD,New York City Police Department,1022150116,MANHATTAN,,,NEW YORK,2020-03-25T05:56:51.000,08 BRONX,Noise - Residential,2020-03-25T00:18:48.000,WEST  225 STREET,WEST  228 STREET,Loud Music/Party,,,5210 BROADWAY,10463,WEST  225 STREET,WEST  228 STREET,BROADWAY,40.87492639955793,"{'type': 'Point', 'coordinates': [-73.90934837220756, 40.87492639955793]}",,,,Residential Building/House,,-73.90934837220756,ONLINE,MANHATTAN,Unspecified,2020-03-25T09:56:52.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,BROADWAY,,,45885382,,1009320,258050
38,,DPR,Department of Parks and Recreation,3066050053,BROOKLYN,,,BROOKLYN,2020-03-25T11:12:51.000,11 BROOKLYN,Dead/Dying Tree,2020-03-25T00:19:38.000,65 STREET,AVENUE P,Planted More Than 2 Years Ago,,,1551 WEST    2 STREET,11204,65 STREET,AVENUE P,WEST    2 STREET,40.609624711718766,"{'type': 'Point', 'coordinates': [-73.97612519402229, 40.609624711718766]}",,,,Street,,-73.97612519402229,UNKNOWN,BROOKLYN,Unspecified,2020-03-25T15:12:53.000,The Department of Parks and Recreation visited the location but could not find the tree condition yo,,Closed,WEST    2 STREET,,,45885785,,990879,161380
39,,NYPD,New York City Police Department,1019330050,MANHATTAN,,,NEW YORK,2020-03-25T06:55:32.000,10 MANHATTAN,Noise - Residential,2020-03-25T00:20:10.000,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,Banging/Pounding,,,200 WEST  131 STREET,10027,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,WEST  131 STREET,40.81281181632886,"{'type': 'Point', 'coordinates': [-73.94573926927536, 40.81281181632886]}",,,,Residential Building/House,,-73.94573926927536,ONLINE,MANHATTAN,Unspecified,2020-03-25T10:55:36.000,The Police Department responded to the complaint and determined that police action was not necessary,,Closed,WEST  131 STREET,,,45885356,,999270,235411
40,,NYPD,New York City Police Department,2029970030,BRONX,,,BRONX,2020-03-25T02:56:34.000,03 BRONX,Noise - Residential,2020-03-25T00:20:31.000,EAST  173 STREET,EAST  174 STREET,Banging/Pounding,,,1705 BRYANT AVENUE,10460,EAST  173 STREET,EAST  174 STREET,BRYANT AVENUE,40.8356341044286,"{'type': 'Point', 'coordinates': [-73.88562667543762, 40.8356341044286]}",,,,,,-73.88562667543762,PHONE,BRONX,Unspecified,2020-03-25T06:56:36.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,BRYANT AVENUE,,,45886349,,1015899,243742
41,,NYPD,New York City Police Department,4131160023,QUEENS,,,SPRINGFIELD GARDENS,2020-03-25T01:11:01.000,13 QUEENS,Noise - Street/Sidewalk,2020-03-25T00:20:35.000,136 AVENUE,137 AVENUE,Loud Music/Party,,,136-11 221 STREET,11413,136 AVENUE,137 AVENUE,221 STREET,40.67585783380066,"{'type': 'Point', 'coordinates': [-73.7494744235049, 40.67585783380066]}",,,,Street/Sidewalk,,-73.7494744235049,MOBILE,QUEENS,Unspecified,2020-03-25T05:11:08.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,221 STREET,,,45888542,,1053741,185609
42,,NYPD,New York City Police Department,4082867504,QUEENS,,,LITTLE NECK,2020-03-25T04:00:03.000,11 QUEENS,Noise - Residential,2020-03-25T00:20:43.000,69 AVENUE,70 AVENUE,Loud Music/Party,,,69-05 242 STREET,11362,69 AVENUE,70 AVENUE,242 STREET,40.750303025947964,"{'type': 'Point', 'coordinates': [-73.73659838310749, 40.750303025947964]}",,,,Residential Building/House,,-73.73659838310749,ONLINE,QUEENS,Unspecified,2020-03-25T08:00:05.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,242 STREET,,,45887091,,1057231,212742
