,address_type,agency,agency_name,bbl,borough,bridge_highway_direction,bridge_highway_segment,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,latitude,location,location_address,location_city,location_state,location_type,location_zip,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,road_ramp,status,street_name,taxi_company_borough,taxi_pick_up_location,unique_key,x_coordinate_state_plane,y_coordinate_state_plane
10,,NYPD,New York City Police Department,4008830009,QUEENS,,,ASTORIA,2020-03-18T01:27:24.000,01 QUEENS,Illegal Parking,2020-03-18T00:03:56.000,21 STREET,22 STREET,Blocked Hydrant,,,21-15 25 ROAD,11102,21 STREET,22 STREET,25 ROAD,40.7739837571819,"{'type': 'Point', 'coordinates': [-73.92431033444, 40.7739837571819]}",,,,Street/Sidewalk,,-73.92431033444,MOBILE,QUEENS,Unspecified,2020-03-18T05:27:28.000,The Police Department responded to the complaint and determined that police action was not necessary,,Closed,25 ROAD,,,45848375,1005214,221269
11,,NYPD,New York City Police Department,1022460020,MANHATTAN,,,NEW YORK,2020-03-18T01:35:46.000,12 MANHATTAN,Noise - Vehicle,2020-03-18T00:03:59.000,HENSHAW STREET,STAFF STREET,Car/Truck Music,,,302 DYCKMAN STREET,10034,HENSHAW STREET,STAFF STREET,DYCKMAN STREET,40.86758209572162,"{'type': 'Point', 'coordinates': [-73.92975004101304, 40.86758209572162]}",,,,Street/Sidewalk,,-73.92975004101304,ONLINE,MANHATTAN,Unspecified,2020-03-18T05:35:50.000,The Police Department responded and upon arrival those responsible for the condition were gone.,,Closed,DYCKMAN STREET,,,45847949,1003680,255369
12,,DCA,Department of Consumer Affairs,3042050016,BROOKLYN,,,BROOKLYN,2020-03-19T09:15:39.000,05 BROOKLYN,Consumer Complaint,2020-03-18T00:04:55.000,ELDERT LANE,101 AVENUE,Bodega/Deli/Supermarket,,,1196 LIBERTY AVENUE,11208,ELDERT LANE,101 AVENUE,LIBERTY AVENUE,40.67895536618271,"{'type': 'Point', 'coordinates': [-73.86500617659028, 40.67895536618271]}",,,,,,-73.86500617659028,PHONE,BROOKLYN,Unspecified,2020-03-19T13:15:42.000,The Department of Consumer Affairs has received your report. This request is under investigation. Th,,Closed,LIBERTY AVENUE,,,45847304,1021693,186667
13,INTERSECTION,DOT,Department of Transportation,,BROOKLYN,,,,2020-03-18T01:00:00.000,Unspecified BROOKLYN,Traffic Signal Condition,2020-03-18T00:05:00.000,,,Controller,,N/A,,,18 AVE,9 ST E,,,,,,,,,,UNKNOWN,BROOKLYN,Unspecified,2020-03-18T01:00:00.000,"Service Request status for this request is available on the Department of Transportation's website. Please click the ""Learn More"" link below.",,Closed,,,,45847185,,
14,ADDRESS,DEP,Department of Environmental Protection,1021770023,MANHATTAN,,,NEW YORK,2020-03-19T01:45:00.000,12 MANHATTAN,Noise,2020-03-18T00:06:00.000,W 177 ST,CBE NB EXIT 1 A UPPERDECK,Noise: Construction Before/After Hours (NM1),,N/A,395 FT WASHINGTON AVENUE,10033,,,,40.848618841947136,"{'type': 'Point', 'coordinates': [-73.93921478492688, 40.848618841947136]}",,,,,,-73.93921478492688,PHONE,MANHATTAN,Unspecified,2020-03-19T01:45:00.000,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",,Closed,FT WASHINGTON AVENUE,,,45850584,1001067,248458
15,ADDRESS,DOB,Department of Buildings,4129600015,QUEENS,,,Springfield Gardens,2020-03-18T00:06:04.000,13 QUEENS,Electrical,2020-03-18T00:06:04.000,,,Electrical Wiring Defective/Exposed,,,133-19 221 STREET,11413,,,,40.67957320610916,"{'type': 'Point', 'coordinates': [-73.74772989221273, 40.67957320610916]}",,,,,,-73.74772989221273,UNKNOWN,QUEENS,Unspecified,2020-03-18T00:00:00.000,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,,Closed,221 STREET,,,45852021,1054221,186964
16,,NYPD,New York City Police Department,3068210275,BROOKLYN,,,BROOKLYN,2020-03-18T08:40:32.000,15 BROOKLYN,Noise - Vehicle,2020-03-18T00:06:26.000,AVENUE R,MOORE PLACE,Car/Truck Music,,,1815 EAST   17 STREET,11229,AVENUE R,MOORE PLACE,EAST   17 STREET,40.605586570194475,"{'type': 'Point', 'coordinates': [-73.95575378891145, 40.605586570194475]}",,,,Street/Sidewalk,,-73.95575378891145,MOBILE,BROOKLYN,Unspecified,2020-03-18T12:40:35.000,The Police Department responded and upon arrival those responsible for the condition were gone.,,Closed,EAST   17 STREET,,,45848150,996536,159911
17,,NYPD,New York City Police Department,3052220078,BROOKLYN,,,BROOKLYN,2020-03-18T07:42:48.000,14 BROOKLYN,Noise - Residential,2020-03-18T00:06:47.000,STEPHENS COURT,FOSTER AVENUE,Banging/Pounding,,,480 EAST   23 STREET,11226,STEPHENS COURT,FOSTER AVENUE,EAST   23 STREET,40.63821942108572,"{'type': 'Point', 'coordinates': [-73.95581502290973, 40.63821942108572]}",,,,Residential Building/House,,-73.95581502290973,MOBILE,BROOKLYN,Unspecified,2020-03-18T11:42:53.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,EAST   23 STREET,,,45847248,996513,171800
18,,NYPD,New York City Police Department,4034420015,QUEENS,,,RIDGEWOOD,2020-03-18T02:20:09.000,05 QUEENS,Noise - Residential,2020-03-18T00:07:02.000,ST NICHOLAS AVENUE,CYPRESS AVENUE,Banging/Pounding,,,404 MENAHAN STREET,11385,ST NICHOLAS AVENUE,CYPRESS AVENUE,MENAHAN STREET,40.702603680522195,"{'type': 'Point', 'coordinates': [-73.91264469972627, 40.702603680522195]}",,,,Residential Building/House,,-73.91264469972627,PHONE,QUEENS,Unspecified,2020-03-18T06:20:16.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,MENAHAN STREET,,,45847213,1008471,195266
19,,NYPD,New York City Police Department,,BROOKLYN,,,,2020-03-18T02:36:58.000,08 BROOKLYN,Noise - Commercial,2020-03-18T00:07:16.000,STERLING PLACE,UTICA AVENUE,Loud Music/Party,,,STERLING PLACE,11213,STERLING PLACE,UTICA AVENUE,,40.67147388965715,"{'type': 'Point', 'coordinates': [-73.93086864280842, 40.67147388965715]}",,,,Store/Commercial,,-73.93086864280842,PHONE,BROOKLYN,Unspecified,2020-03-18T06:37:02.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,STERLING PLACE,,,45845358,1003427,183920
20,ADDRESS,HPD,Department of Housing Preservation and Development,4031730055,QUEENS,,,Forest Hills,2020-03-24T09:35:22.000,06 QUEENS,UNSANITARY CONDITION,2020-03-18T00:07:28.000,,,GARBAGE/RECYCLING STORAGE,,,103-11 68 DRIVE,11375,,,,40.72397388854547,"{'type': 'Point', 'coordinates': [-73.85071125881217, 40.72397388854547]}",,,,RESIDENTIAL BUILDING,,-73.85071125881217,ONLINE,QUEENS,Unspecified,2020-03-24T09:35:22.000,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,,Closed,68 DRIVE,,,45856907,1025630,203075
21,,NYPD,New York City Police Department,3038730110,BROOKLYN,,,BROOKLYN,2020-03-18T00:12:39.000,05 BROOKLYN,Noise - Residential,2020-03-18T00:08:10.000,AVENUE D,DE WITT AVENUE,Banging/Pounding,,,807 VAN SINDEREN AVENUE,11207,AVENUE D,DE WITT AVENUE,VAN SINDEREN AVENUE,40.65641147101372,"{'type': 'Point', 'coordinates': [-73.89876814034936, 40.65641147101372]}",,,,Residential Building/House,,-73.89876814034936,ONLINE,BROOKLYN,Unspecified,2020-03-18T04:13:06.000,The Police Department reviewed your complaint and provided additional information below.,,Closed,VAN SINDEREN AVENUE,,,45846322,1012338,178441
22,,NYPD,New York City Police Department,2057230075,BRONX,,,BRONX,2020-03-18T03:31:37.000,08 BRONX,Noise - Vehicle,2020-03-18T00:08:44.000,BEND,BEND,Car/Truck Music,,,21B KNOLLS CRESCENT,10463,BEND,BEND,KNOLLS CRESCENT,40.87866540320906,"{'type': 'Point', 'coordinates': [-73.91764955922139, 40.87866540320906]}",,,,Street/Sidewalk,,-73.91764955922139,MOBILE,BRONX,Unspecified,2020-03-18T07:31:41.000,The Police Department responded and upon arrival those responsible for the condition were gone.,,Closed,KNOLLS CRESCENT,,,45846349,1007023,259410
23,,NYPD,New York City Police Department,2053960038,BRONX,,,BRONX,2020-03-18T15:47:45.000,10 BRONX,Noise - Street/Sidewalk,2020-03-18T00:09:17.000,ZULETTE AVENUE,MIDDLETOWN ROAD,Loud Talking,,,1516 GILLESPIE AVENUE,10461,ZULETTE AVENUE,MIDDLETOWN ROAD,GILLESPIE AVENUE,40.842579774344145,"{'type': 'Point', 'coordinates': [-73.83102244838997, 40.842579774344145]}",,,,Street/Sidewalk,,-73.83102244838997,MOBILE,BRONX,Unspecified,2020-03-18T19:47:46.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,GILLESPIE AVENUE,,,45849063,1031004,246297
24,,NYPD,New York City Police Department,4031480035,QUEENS,,,REGO PARK,2020-03-18T00:55:19.000,06 QUEENS,Noise - Residential,2020-03-18T00:11:01.000,WOODHAVEN BOULEVARD,ALDERTON STREET,Loud Music/Party,,,85-25 68 ROAD,11374,WOODHAVEN BOULEVARD,ALDERTON STREET,68 ROAD,40.71510839931713,"{'type': 'Point', 'coordinates': [-73.85951122181137, 40.71510839931713]}",,,,Residential Building/House,,-73.85951122181137,PHONE,QUEENS,Unspecified,2020-03-18T04:55:22.000,The Police Department responded to the complaint but officers were unable to gain entry into the pre,,Closed,68 ROAD,,,45845210,1023196,199841
25,,NYPD,New York City Police Department,2039000033,BRONX,,,BRONX,2020-03-18T01:24:59.000,09 BRONX,Noise - Residential,2020-03-18T00:11:02.000,EAST  174 STREET,ARCHER STREET,Banging/Pounding,,,1470 TAYLOR AVENUE,10460,EAST  174 STREET,ARCHER STREET,TAYLOR AVENUE,40.8367522977154,"{'type': 'Point', 'coordinates': [-73.86623273386101, 40.8367522977154]}",,,,Residential Building/House,,-73.86623273386101,ONLINE,BRONX,Unspecified,2020-03-18T05:25:03.000,The Police Department responded to the complaint and determined that police action was not necessary,,Closed,TAYLOR AVENUE,,,45846063,1021265,244157
26,,NYPD,New York City Police Department,3063190054,BROOKLYN,,,BROOKLYN,2020-03-18T02:56:54.000,11 BROOKLYN,Illegal Parking,2020-03-18T00:13:10.000,BAY PARKWAY,23 AVENUE,Blocked Hydrant,,,2251 83 STREET,11214,BAY PARKWAY,23 AVENUE,83 STREET,40.6029734463176,"{'type': 'Point', 'coordinates': [-73.9908997399686, 40.6029734463176]}",,,,Street/Sidewalk,,-73.9908997399686,ONLINE,BROOKLYN,Unspecified,2020-03-18T06:56:56.000,The Police Department issued a summons in response to the complaint.,,Closed,83 STREET,,,45844493,986777,158956
27,,NYPD,New York City Police Department,5035760046,STATEN ISLAND,,,STATEN ISLAND,2020-03-18T02:24:27.000,02 STATEN ISLAND,Noise - Residential,2020-03-18T00:13:18.000,RICHMOND ROAD,LISBON PLACE,Loud Talking,,,25 MIDLAND AVENUE,10306,RICHMOND ROAD,LISBON PLACE,MIDLAND AVENUE,40.58168529527626,"{'type': 'Point', 'coordinates': [-74.1093087427637, 40.58168529527626]}",,,,Residential Building/House,,-74.1093087427637,ONLINE,STATEN ISLAND,Unspecified,2020-03-18T06:24:31.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,MIDLAND AVENUE,,,45846333,953887,151219
28,,NYPD,New York City Police Department,1004340024,MANHATTAN,,,NEW YORK,2020-03-18T03:58:44.000,03 MANHATTAN,Noise - Residential,2020-03-18T00:13:31.000,1 AVENUE,AVENUE A,Loud Music/Party,,,120 EAST    7 STREET,10009,1 AVENUE,AVENUE A,EAST    7 STREET,40.72634499926622,"{'type': 'Point', 'coordinates': [-73.98425522148207, 40.72634499926622]}",,,,,,-73.98425522148207,PHONE,MANHATTAN,Unspecified,2020-03-18T07:58:51.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,EAST    7 STREET,,,45849154,988614,203904
29,,NYPD,New York City Police Department,1005370037,MANHATTAN,,,NEW YORK,2020-03-18T01:15:38.000,02 MANHATTAN,Noise - Vehicle,2020-03-18T00:13:51.000,BLEECKER STREET,WEST    3 STREET,Engine Idling,,,206 THOMPSON STREET,10012,BLEECKER STREET,WEST    3 STREET,THOMPSON STREET,40.72879439653422,"{'type': 'Point', 'coordinates': [-73.99935055813754, 40.72879439653422]}",,,,Street/Sidewalk,,-73.99935055813754,MOBILE,MANHATTAN,Unspecified,2020-03-18T05:15:45.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,THOMPSON STREET,,,45845131,984430,204796
30,,NYPD,New York City Police Department,4023800097,QUEENS,,,MASPETH,2020-03-18T02:41:14.000,05 QUEENS,Blocked Driveway,2020-03-18T00:14:12.000,65 PLACE,DEAD END,Partial Access,,,65-26 CLARAN COURT,11378,65 PLACE,DEAD END,CLARAN COURT,40.72805627715487,"{'type': 'Point', 'coordinates': [-73.89968396952915, 40.72805627715487]}",,,,,,-73.89968396952915,PHONE,QUEENS,Unspecified,2020-03-18T06:41:20.000,The Police Department issued a summons in response to the complaint.,,Closed,CLARAN COURT,,,45845613,1012054,204543
31,,NYPD,New York City Police Department,4011630040,QUEENS,,,WOODSIDE,2020-03-18T04:23:49.000,03 QUEENS,Blocked Driveway,2020-03-18T00:14:29.000,32 AVENUE,BQE EB ENTRANCE NORTHERN BLVD,Partial Access,,,32-28 68 STREET,11377,32 AVENUE,BQE EB ENTRANCE NORTHERN BLVD,68 STREET,40.75554146160355,"{'type': 'Point', 'coordinates': [-73.89880518231308, 40.75554146160355]}",,,,Street/Sidewalk,,-73.89880518231308,PHONE,QUEENS,Unspecified,2020-03-18T08:23:54.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,68 STREET,,,45849297,1012286,214557
32,,NYPD,New York City Police Department,3033910039,BROOKLYN,,,BROOKLYN,2020-03-18T05:30:52.000,04 BROOKLYN,Noise - Street/Sidewalk,2020-03-18T00:15:06.000,JEFFERSON AVENUE,HANCOCK STREET,Loud Music/Party,,,730 KNICKERBOCKER AVENUE,11221,JEFFERSON AVENUE,HANCOCK STREET,KNICKERBOCKER AVENUE,40.693955497063904,"{'type': 'Point', 'coordinates': [-73.90983964537519, 40.693955497063904]}",,,,Street/Sidewalk,,-73.90983964537519,ONLINE,BROOKLYN,Unspecified,2020-03-18T09:30:56.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,KNICKERBOCKER AVENUE,,,45846443,1009252,192116
33,,NYPD,New York City Police Department,,QUEENS,,,,2020-03-18T03:00:39.000,13 QUEENS,Illegal Parking,2020-03-18T00:15:15.000,147 AVENUE,229 STREET,Commercial Overnight Parking,,,147 AVENUE,11413,147 AVENUE,229 STREET,,40.65808744137499,"{'type': 'Point', 'coordinates': [-73.75299037951785, 40.65808744137499]}",,,,Street/Sidewalk,,-73.75299037951785,PHONE,QUEENS,Unspecified,2020-03-18T07:00:40.000,The Police Department issued a summons in response to the complaint.,,Closed,147 AVENUE,,,45849133,1052784,179132
34,,DOT,Department of Transportation,,STATEN ISLAND,,,,2020-03-19T07:42:36.000,03 STATEN ISLAND,Street Condition,2020-03-18T00:16:19.000,DRUMGOOLE ROAD WEST,PARKWOOD AVENUE,Defective Hardware,,,DRUMGOOLE ROAD WEST,10309,DRUMGOOLE ROAD WEST,PARKWOOD AVENUE,,40.531759441516996,"{'type': 'Point', 'coordinates': [-74.20570522208592, 40.531759441516996]}",,,,Street,,-74.20570522208592,PHONE,STATEN ISLAND,Unspecified,2020-03-19T11:42:53.000,The Department of Transportation inspected the condition and issued a Corrective Action Repair (CAR),,Closed,DRUMGOOLE ROAD WEST,,,45844470,927068,133078
35,,NYPD,New York City Police Department,3032190001,BROOKLYN,,,BROOKLYN,2020-03-18T05:31:16.000,04 BROOKLYN,Noise - Street/Sidewalk,2020-03-18T00:16:34.000,SUYDAM STREET,HART STREET,Loud Music/Party,,,161 WILSON AVENUE,11237,SUYDAM STREET,HART STREET,WILSON AVENUE,40.70012268595652,"{'type': 'Point', 'coordinates': [-73.92468631476943, 40.70012268595652]}",,,,Street/Sidewalk,,-73.92468631476943,MOBILE,BROOKLYN,Unspecified,2020-03-18T09:31:21.000,The Police Department responded to the complaint and determined that police action was not necessary,,Closed,WILSON AVENUE,,,45849231,1005133,194359
36,,NYPD,New York City Police Department,4053590025,QUEENS,,,FLUSHING,2020-03-18T01:28:54.000,11 QUEENS,Noise - Residential,2020-03-18T00:17:02.000,194 STREET,195 STREET,Banging/Pounding,,,194-14 STATION ROAD,11358,194 STREET,195 STREET,STATION ROAD,40.76121489922988,"{'type': 'Point', 'coordinates': [-73.78783937364572, 40.76121489922988]}",,,,,,-73.78783937364572,PHONE,QUEENS,Unspecified,2020-03-18T05:28:58.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,STATION ROAD,,,45848128,1043024,216679
37,,NYPD,New York City Police Department,3011550012,BROOKLYN,,,BROOKLYN,2020-03-18T02:37:13.000,08 BROOKLYN,Noise - Residential,2020-03-18T00:17:52.000,ST MARKS AVENUE,PROSPECT PLACE,Loud Music/Party,,,603 GRAND AVENUE,11238,ST MARKS AVENUE,PROSPECT PLACE,GRAND AVENUE,40.67715104640076,"{'type': 'Point', 'coordinates': [-73.96258145783204, 40.67715104640076]}",,,,Residential Building/House,,-73.96258145783204,MOBILE,BROOKLYN,Unspecified,2020-03-18T06:37:15.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,GRAND AVENUE,,,45843605,994629,185983
38,,NYPD,New York City Police Department,,BRONX,,,,2020-03-18T07:56:36.000,05 BRONX,Noise - Street/Sidewalk,2020-03-18T00:18:31.000,EAST  183 STREET,MORRIS AVENUE,Loud Talking,,,EAST  183 STREET,10453,EAST  183 STREET,MORRIS AVENUE,,40.85809257734631,"{'type': 'Point', 'coordinates': [-73.90191351696824, 40.85809257734631]}",,,,,,-73.90191351696824,PHONE,BRONX,Unspecified,2020-03-18T11:56:39.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,EAST  183 STREET,,,45844468,1011383,251919
39,,NYPD,New York City Police Department,3024130001,BROOKLYN,,,BROOKLYN,2020-03-18T08:59:17.000,01 BROOKLYN,Noise - Residential,2020-03-18T00:18:43.000,SOUTH    2 STREET,SOUTH    1 STREET,Loud Music/Party,,,390 HOOPER STREET,11211,SOUTH    2 STREET,SOUTH    1 STREET,HOOPER STREET,40.70990328669034,"{'type': 'Point', 'coordinates': [-73.95222905095925, 40.70990328669034]}",,,,Residential Building/House,,-73.95222905095925,MOBILE,BROOKLYN,Unspecified,2020-03-18T12:59:19.000,The Police Department responded to the complaint and determined that police action was not necessary,,Closed,HOOPER STREET,,,45844464,997494,197917
40,ADDRESS,HPD,Department of Housing Preservation and Development,4031730055,QUEENS,,,Forest Hills,2020-03-24T09:35:23.000,06 QUEENS,UNSANITARY CONDITION,2020-03-18T00:19:26.000,,,GARBAGE/RECYCLING STORAGE,,,103-11 68 DRIVE,11375,,,,40.72397388854547,"{'type': 'Point', 'coordinates': [-73.85071125881217, 40.72397388854547]}",,,,RESIDENTIAL BUILDING,,-73.85071125881217,ONLINE,QUEENS,Unspecified,2020-03-24T09:35:23.000,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,,Closed,68 DRIVE,,,45854423,1025630,203075
41,,NYPD,New York City Police Department,4070670029,QUEENS,,,FRESH MEADOWS,2020-03-18T01:27:47.000,11 QUEENS,Noise - Residential,2020-03-18T00:20:30.000,183 STREET,184 STREET,Banging/Pounding,,,183-18 BOOTH MEMORIAL AVENUE,11365,183 STREET,184 STREET,BOOTH MEMORIAL AVENUE,40.74095703981419,"{'type': 'Point', 'coordinates': [-73.79149090894758, 40.74095703981419]}",,,,Residential Building/House,,-73.79149090894758,MOBILE,QUEENS,Unspecified,2020-03-18T05:27:48.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,BOOTH MEMORIAL AVENUE,,,45845193,1042030,209296
42,,NYPD,New York City Police Department,5060220348,STATEN ISLAND,,,STATEN ISLAND,2020-03-18T02:42:00.000,03 STATEN ISLAND,Illegal Parking,2020-03-18T00:20:53.000,MIMOSA LANE,DOGWOOD DRIVE,Blocked Hydrant,,,4 YUCCA DRIVE,10312,MIMOSA LANE,DOGWOOD DRIVE,YUCCA DRIVE,40.55164373254773,"{'type': 'Point', 'coordinates': [-74.19900854185619, 40.55164373254773]}",,,,Street/Sidewalk,,-74.19900854185619,MOBILE,STATEN ISLAND,Unspecified,2020-03-18T06:42:05.000,The Police Department responded to the complaint and a report was prepared.,,Closed,YUCCA DRIVE,,,45849019,928946,140318
