,address_type,agency,agency_name,bbl,borough,bridge_highway_direction,bridge_highway_segment,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,latitude,location,location_address,location_city,location_state,location_type,location_zip,longitude,open_data_channel_type,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,road_ramp,status,street_name,taxi_company_borough,taxi_pick_up_location,unique_key,x_coordinate_state_plane,y_coordinate_state_plane
10,,NYPD,New York City Police Department,2028210032,BRONX,,,BRONX,,04 BRONX,Noise - Residential,2020-03-23T00:05:13.000,HAWKSTONE STREET,MT EDEN PARKWAY,Loud Music/Party,,,1560 GRAND CONCOURSE,10457,HAWKSTONE STREET,MT EDEN PARKWAY,GRAND CONCOURSE,40.84245876949598,"{'type': 'Point', 'coordinates': [-73.91217553200866, 40.84245876949598]}",,,,Residential Building/House,,-73.91217553200866,ONLINE,BRONX,Unspecified,,,,In Progress,GRAND CONCOURSE,,,45876000,1008550,246220
11,,NYPD,New York City Police Department,3041170017,BROOKLYN,,,BROOKLYN,2020-03-23T01:43:14.000,05 BROOKLYN,Noise - Residential,2020-03-23T00:05:18.000,ETNA STREET,RIDGEWOOD AVENUE,Loud Music/Party,,,97 EUCLID AVENUE,11208,ETNA STREET,RIDGEWOOD AVENUE,EUCLID AVENUE,40.68609465935116,"{'type': 'Point', 'coordinates': [-73.8748352951601, 40.68609465935116]}",,,,Residential Building/House,,-73.8748352951601,ONLINE,BROOKLYN,Unspecified,2020-03-23T05:43:21.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,EUCLID AVENUE,,,45877024,1018963,189264
12,,DOHMH,Department of Health and Mental Hygiene,2035190020,BRONX,,,BRONX,,09 BRONX,Indoor Air Quality,2020-03-23T00:05:24.000,LACOMBE AVENUE,RANDALL AVENUE,Chemical Vapors/Gases/Odors,,,542 ROSEDALE AVENUE,10473,LACOMBE AVENUE,RANDALL AVENUE,ROSEDALE AVENUE,40.81530682782175,"{'type': 'Point', 'coordinates': [-73.86538711373265, 40.81530682782175]}",,,,3+ Family Apartment Building,,-73.86538711373265,ONLINE,BRONX,Unspecified,,,,In Progress,ROSEDALE AVENUE,,,45878622,1021511,236344
13,,NYPD,New York City Police Department,2026410036,BRONX,,,BRONX,2020-03-23T04:52:14.000,01 BRONX,Noise - Residential,2020-03-23T00:06:11.000,EAST  149 STREET,EAST  150 STREET,Banging/Pounding,,,551 WALES AVENUE,10455,EAST  149 STREET,EAST  150 STREET,WALES AVENUE,40.81309462311993,"{'type': 'Point', 'coordinates': [-73.90717111629482, 40.81309462311993]}",,,,Residential Building/House,,-73.90717111629482,MOBILE,BRONX,Unspecified,2020-03-23T08:52:15.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,WALES AVENUE,,,45875995,1009946,235523
14,,NYPD,New York City Police Department,1000680036,MANHATTAN,,,NEW YORK,2020-03-23T05:16:20.000,01 MANHATTAN,Noise - Commercial,2020-03-23T00:06:16.000,WILLIAM STREET,GOLD STREET,Banging/Pounding,,,29 PLATT STREET,10038,WILLIAM STREET,GOLD STREET,PLATT STREET,40.70814259581487,"{'type': 'Point', 'coordinates': [-74.0072895298454, 40.70814259581487]}",,,,Store/Commercial,,-74.0072895298454,ONLINE,MANHATTAN,Unspecified,2020-03-23T09:16:24.000,The Police Department responded to the complaint and determined that police action was not necessary,,Closed,PLATT STREET,,,45878701,982229,197272
15,,NYPD,New York City Police Department,2048340077,BRONX,,,BRONX,2020-03-24T10:10:09.000,12 BRONX,Noise - Residential,2020-03-23T00:08:05.000,CARPENTER AVENUE,WHITE PLAINS ROAD,Banging/Pounding,,,670 EAST  232 STREET,10466,CARPENTER AVENUE,WHITE PLAINS ROAD,EAST  232 STREET,40.893105955343565,"{'type': 'Point', 'coordinates': [-73.85887822980199, 40.893105955343565]}",,,,Residential Building/House,,-73.85887822980199,PHONE,BRONX,Unspecified,2020-03-24T14:10:11.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,EAST  232 STREET,,,45876517,1023267,264692
16,,DCA,Department of Consumer Affairs,1002387501,MANHATTAN,,,NEW YORK,2020-03-25T12:35:57.000,02 MANHATTAN,Consumer Complaint,2020-03-23T00:08:46.000,HESTER STREET,GRAND STREET,Retail Store,,,128 MOTT STREET,10013,HESTER STREET,GRAND STREET,MOTT STREET,40.718361529337095,"{'type': 'Point', 'coordinates': [-73.99679298088736, 40.718361529337095]}",,,,Commercial Building,,-73.99679298088736,ONLINE,MANHATTAN,Unspecified,2020-03-25T16:36:00.000,The Department of Consumer Affairs has received your report. This request is under investigation. Th,,Closed,MOTT STREET,,,45875876,985139,200995
17,,NYPD,New York City Police Department,2029250042,BRONX,,,BRONX,2020-03-23T02:33:37.000,03 BRONX,Noise - Residential,2020-03-23T00:09:05.000,3 AVENUE,FULTON AVENUE,Loud Music/Party,,,550 EAST  170 STREET,10456,3 AVENUE,FULTON AVENUE,EAST  170 STREET,40.834801621595524,"{'type': 'Point', 'coordinates': [-73.9026597655281, 40.834801621595524]}",,,,Residential Building/House,,-73.9026597655281,ONLINE,BRONX,Unspecified,2020-03-23T06:33:40.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,EAST  170 STREET,,,45879267,1011186,243433
18,,NYPD,New York City Police Department,3014320068,BROOKLYN,,,BROOKLYN,2020-03-23T01:13:04.000,16 BROOKLYN,Noise - Residential,2020-03-23T00:12:21.000,ATLANTIC AVENUE,PACIFIC STREET,Banging/Pounding,,,327 HOWARD AVENUE,11233,ATLANTIC AVENUE,PACIFIC STREET,HOWARD AVENUE,40.676409674681196,"{'type': 'Point', 'coordinates': [-73.91926566996516, 40.676409674681196]}",,,,Residential Building/House,,-73.91926566996516,MOBILE,BROOKLYN,Unspecified,2020-03-23T05:13:12.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,HOWARD AVENUE,,,45877382,1006644,185721
19,,NYPD,New York City Police Department,3067120056,BROOKLYN,,,BROOKLYN,2020-03-23T06:25:53.000,14 BROOKLYN,Noise - Residential,2020-03-23T00:13:07.000,AVENUE I,AVENUE J,Loud Television,,,1400 OCEAN AVENUE,11230,AVENUE I,AVENUE J,OCEAN AVENUE,40.627723718475885,"{'type': 'Point', 'coordinates': [-73.95678385150929, 40.627723718475885]}",,,,Residential Building/House,,-73.95678385150929,ONLINE,BROOKLYN,Unspecified,2020-03-23T10:25:55.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,OCEAN AVENUE,,,45877669,996246,167976
20,ADDRESS,DEP,Department of Environmental Protection,1000680036,MANHATTAN,,,NEW YORK,2020-03-23T06:05:00.000,01 MANHATTAN,Noise,2020-03-23T00:14:00.000,WILLIAM ST,GOLD ST,Noise: Alarms (NR3),,N/A,29 PLATT STREET,10038,,,,40.70814259581487,"{'type': 'Point', 'coordinates': [-74.0072895298454, 40.70814259581487]}",,,,,,-74.0072895298454,ONLINE,MANHATTAN,Unspecified,2020-03-23T06:05:00.000,The Department of Environmental Protection researched this complaint and determined that it could be closed.,,Closed,PLATT STREET,,,45884410,982229,197272
21,,NYPD,New York City Police Department,1021060003,MANHATTAN,,,NEW YORK,,10 MANHATTAN,Noise - Residential,2020-03-23T00:14:58.000,HARLEM RIVER DRIVE,HARLEM RIVER DRIVE,Banging/Pounding,,,2979 8 AVENUE,10039,HARLEM RIVER DRIVE,HARLEM RIVER DRIVE,8 AVENUE,40.83067777480019,"{'type': 'Point', 'coordinates': [-73.93617051041467, 40.83067777480019]}",,,,Residential Building/House,,-73.93617051041467,ONLINE,MANHATTAN,Unspecified,,,,In Progress,8 AVENUE,,,45877046,1001914,241922
22,,NYPD,New York City Police Department,1019880118,MANHATTAN,,,NEW YORK,,09 MANHATTAN,Noise - Residential,2020-03-23T00:15:16.000,AMSTERDAM AVENUE,BROADWAY,Banging/Pounding,,,514 WEST  136 STREET,10031,AMSTERDAM AVENUE,BROADWAY,WEST  136 STREET,40.82003081301524,"{'type': 'Point', 'coordinates': [-73.952850909447, 40.82003081301524]}",,,,Residential Building/House,,-73.952850909447,ONLINE,MANHATTAN,Unspecified,,,,In Progress,WEST  136 STREET,,,45878154,997300,238040
23,,NYPD,New York City Police Department,1021270044,MANHATTAN,,,NEW YORK,2020-03-23T01:19:13.000,12 MANHATTAN,Noise - Residential,2020-03-23T00:15:23.000,AMSTERDAM AVENUE,AUDUBON AVENUE,Loud Music/Party,,,500 WEST  171 STREET,10032,AMSTERDAM AVENUE,AUDUBON AVENUE,WEST  171 STREET,40.84179638990981,"{'type': 'Point', 'coordinates': [-73.93579119996011, 40.84179638990981]}",,,,Residential Building/House,,-73.93579119996011,ONLINE,MANHATTAN,Unspecified,2020-03-23T05:19:17.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,WEST  171 STREET,,,45876880,1002016,245973
24,,DCA,Department of Consumer Affairs,1021690048,MANHATTAN,,,NEW YORK,2020-03-25T15:06:43.000,12 MANHATTAN,Consumer Complaint,2020-03-23T00:16:04.000,WEST  190 STREET,WEST  191 STREET,Retail Store,,,1617 ST NICHOLAS AVENUE,10040,WEST  190 STREET,WEST  191 STREET,ST NICHOLAS AVENUE,40.855414559356824,"{'type': 'Point', 'coordinates': [-73.92928572843526, 40.855414559356824]}",,,,Commercial Building,,-73.92928572843526,ONLINE,MANHATTAN,Unspecified,2020-03-25T19:06:46.000,Your complaint was referred to the Department of Consumer Affairs. There was insufficient informatio,,Closed,ST NICHOLAS AVENUE,,,45878105,1003812,250936
25,,NYPD,New York City Police Department,4099450048,QUEENS,,,JAMAICA,2020-03-23T08:02:45.000,08 QUEENS,Noise - Residential,2020-03-23T00:18:25.000,DALNY ROAD,WEXFORD TERRACE,Banging/Pounding,,,86-75 MIDLAND PARKWAY,11432,DALNY ROAD,WEXFORD TERRACE,MIDLAND PARKWAY,40.71459165266304,"{'type': 'Point', 'coordinates': [-73.78302059260754, 40.71459165266304]}",,,,Residential Building/House,,-73.78302059260754,MOBILE,QUEENS,Unspecified,2020-03-23T12:02:48.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,MIDLAND PARKWAY,,,45877009,1044401,199696
26,,NYPD,New York City Police Department,5000670174,STATEN ISLAND,,,STATEN ISLAND,2020-03-23T04:12:34.000,01 STATEN ISLAND,Noise - Residential,2020-03-23T00:19:03.000,FRANKLIN AVENUE,LAFAYETTE AVENUE,Loud Music/Party,,,169 VAN BUREN STREET,10301,FRANKLIN AVENUE,LAFAYETTE AVENUE,VAN BUREN STREET,40.64432639379426,"{'type': 'Point', 'coordinates': [-74.09453634071701, 40.64432639379426]}",,,,Residential Building/House,,-74.09453634071701,ONLINE,STATEN ISLAND,Unspecified,2020-03-23T08:12:38.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,VAN BUREN STREET,,,45878715,958015,174036
27,,NYPD,New York City Police Department,2051000005,BRONX,,,BRONX,,12 BRONX,Illegal Parking,2020-03-23T00:19:11.000,SETON AVENUE,MUNDY LANE,Commercial Overnight Parking,,,2151 NEREID AVENUE,10466,SETON AVENUE,MUNDY LANE,NEREID AVENUE,40.900435308091055,"{'type': 'Point', 'coordinates': [-73.84069642182011, 40.900435308091055]}",,,,Street/Sidewalk,,-73.84069642182011,ONLINE,BRONX,Unspecified,,,,In Progress,NEREID AVENUE,,,45875980,1028289,267371
28,,NYPD,New York City Police Department,2029940012,BRONX,,,BRONX,2020-03-23T03:33:31.000,03 BRONX,Noise - Residential,2020-03-23T00:19:27.000,FREEMAN STREET,JENNINGS STREET,Banging/Pounding,,,1426 VYSE AVENUE,10459,FREEMAN STREET,JENNINGS STREET,VYSE AVENUE,40.83093611353885,"{'type': 'Point', 'coordinates': [-73.88942536736653, 40.83093611353885]}",,,,,,-73.88942536736653,PHONE,BRONX,Unspecified,2020-03-23T07:33:37.000,The Police Department responded to the complaint but officers were unable to gain entry into the pre,,Closed,VYSE AVENUE,,,45877031,1014850,242029
29,,NYPD,New York City Police Department,3050840097,BROOKLYN,,,BROOKLYN,2020-03-23T04:13:36.000,17 BROOKLYN,Noise - Residential,2020-03-23T00:19:44.000,BEDFORD AVENUE,ROGERS AVENUE,Banging/Pounding,,,95 LINDEN BOULEVARD,11226,BEDFORD AVENUE,ROGERS AVENUE,LINDEN BOULEVARD,40.652373963316116,"{'type': 'Point', 'coordinates': [-73.95500919151641, 40.652373963316116]}",,,,Residential Building/House,,-73.95500919151641,PHONE,BROOKLYN,Unspecified,2020-03-23T08:13:38.000,The Police Department responded to the complaint and determined that police action was not necessary,,Closed,LINDEN BOULEVARD,,,45877674,996734,176957
30,,NYPD,New York City Police Department,3064970008,BROOKLYN,,,BROOKLYN,2020-03-23T06:53:18.000,14 BROOKLYN,Noise - Residential,2020-03-23T00:20:17.000,EAST    8 STREET,EAST   10 STREET,Loud Music/Party,,,920 FOSTER AVENUE,11230,EAST    8 STREET,EAST   10 STREET,FOSTER AVENUE,40.63176218935932,"{'type': 'Point', 'coordinates': [-73.96786334071005, 40.63176218935932]}",,,,Residential Building/House,,-73.96786334071005,ONLINE,BROOKLYN,Unspecified,2020-03-23T10:53:25.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,FOSTER AVENUE,,,45877084,993170,169446
31,ADDRESS,DSNY,BCC - Staten Island,5000670064,STATEN ISLAND,,,STATEN ISLAND,,01 STATEN ISLAND,Derelict Vehicles,2020-03-23T00:21:00.000,FRANKLIN AVENUE,LAFAYETTE AVENUE,14 Derelict Vehicles,,DSNY Garage,156 VAN BUREN STREET,10301,,,,40.644367813967676,"{'type': 'Point', 'coordinates': [-74.094233709842, 40.644367813967676]}",,,,Street,,-74.094233709842,ONLINE,STATEN ISLAND,Unspecified,2020-03-23T00:21:00.000,The Department of Sanitation is in the process of investigating this complaint.,,Open,VAN BUREN STREET,,,45880626,958099,174051
32,,NYPD,New York City Police Department,4033407501,QUEENS,,,FOREST HILLS,2020-03-23T05:10:00.000,06 QUEENS,Noise - Residential,2020-03-23T00:22:06.000,AUSTIN STREET,QUEENS BOULEVARD,Banging/Pounding,,,111-14 76 AVENUE,11375,AUSTIN STREET,QUEENS BOULEVARD,76 AVENUE,40.71666506089563,"{'type': 'Point', 'coordinates': [-73.83690062067512, 40.71666506089563]}",,,,Residential Building/House,,-73.83690062067512,ONLINE,QUEENS,Unspecified,2020-03-23T09:10:05.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,76 AVENUE,,,45875962,1029463,200419
33,,NYPD,New York City Police Department,3031660045,BROOKLYN,,,BROOKLYN,2020-03-23T15:17:47.000,04 BROOKLYN,Noise - Residential,2020-03-23T00:22:28.000,KNICKERBOCKER AVENUE,IRVING AVENUE,Loud Music/Party,,,309 JEFFERSON STREET,11237,KNICKERBOCKER AVENUE,IRVING AVENUE,JEFFERSON STREET,40.70444663659682,"{'type': 'Point', 'coordinates': [-73.9261421407496, 40.70444663659682]}",,,,Residential Building/House,,-73.9261421407496,ONLINE,BROOKLYN,Unspecified,2020-03-23T19:17:48.000,The Police Department responded to the complaint and determined that police action was not necessary,,Closed,JEFFERSON STREET,,,45877677,1004728,195934
34,,NYPD,New York City Police Department,4029740085,QUEENS,,,REGO PARK,2020-03-23T02:32:53.000,05 QUEENS,Noise - Residential,2020-03-23T00:23:00.000,62 ROAD,62 DRIVE,Banging/Pounding,,,62-60 WOODHAVEN BOULEVARD,11374,62 ROAD,62 DRIVE,WOODHAVEN BOULEVARD,40.72549030063423,"{'type': 'Point', 'coordinates': [-73.86988351045284, 40.72549030063423]}",,,,Residential Building/House,,-73.86988351045284,ONLINE,QUEENS,Unspecified,2020-03-23T06:32:55.000,The Police Department responded to the complaint and determined that police action was not necessary,,Closed,WOODHAVEN BOULEVARD,,,45878213,1020315,203619
35,,NYPD,New York City Police Department,4006530043,QUEENS,,,ASTORIA,2020-03-23T00:42:13.000,01 QUEENS,Drinking,2020-03-23T00:23:19.000,37 STREET,38 STREET,After Hours - Licensed Est,,,37-02 ASTORIA BOULEVARD SOUTH,11103,37 STREET,38 STREET,ASTORIA BOULEVARD SOUTH,40.76912837934583,"{'type': 'Point', 'coordinates': [-73.91275961194128, 40.76912837934583]}",,,,Club/Bar/Restaurant,,-73.91275961194128,ONLINE,QUEENS,Unspecified,2020-03-23T04:42:18.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,ASTORIA BOULEVARD SOUTH,,,45876155,1008415,219503
36,,NYPD,New York City Police Department,3083530051,BROOKLYN,,,BROOKLYN,2020-03-25T01:51:05.000,18 BROOKLYN,Blocked Driveway,2020-03-23T00:23:55.000,EAST   66 STREET,BERGEN BEACH PLACE,No Access,,,6613 AVENUE M,11234,EAST   66 STREET,BERGEN BEACH PLACE,AVENUE M,40.622678008516665,"{'type': 'Point', 'coordinates': [-73.91575720557223, 40.622678008516665]}",,,,,,-73.91575720557223,PHONE,BROOKLYN,Unspecified,2020-03-25T05:51:11.000,The Police Department issued a summons in response to the complaint.,,Closed,AVENUE M,,,45875319,1007636,166146
37,,NYPD,New York City Police Department,1022200023,MANHATTAN,,,NEW YORK,2020-03-23T02:56:24.000,12 MANHATTAN,Noise - Residential,2020-03-23T00:24:22.000,POST AVENUE,SHERMAN AVENUE,Loud Music/Party,,,584 ACADEMY STREET,10034,POST AVENUE,SHERMAN AVENUE,ACADEMY STREET,40.86390568930256,"{'type': 'Point', 'coordinates': [-73.92345961441495, 40.86390568930256]}",,,,Residential Building/House,,-73.92345961441495,ONLINE,MANHATTAN,Unspecified,2020-03-23T06:56:26.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,ACADEMY STREET,,,45878157,1005421,254031
38,,NYPD,New York City Police Department,3000900001,BROOKLYN,,,BROOKLYN,2020-03-23T00:37:53.000,02 BROOKLYN,Noise - Residential,2020-03-23T00:25:04.000,BQE EASTBOUND ENTRANCE SANDS ST,FLUSHING AVENUE,Banging/Pounding,,,237 NASSAU STREET,11201,BQE EASTBOUND ENTRANCE SANDS ST,FLUSHING AVENUE,NASSAU STREET,40.698342638902034,"{'type': 'Point', 'coordinates': [-73.98220260164477, 40.698342638902034]}",,,,Residential Building/House,,-73.98220260164477,PHONE,BROOKLYN,Unspecified,2020-03-23T04:37:57.000,The Police Department responded to the complaint and with the information available observed no evid,,Closed,NASSAU STREET,,,45878919,989185,193702
39,,NYPD,New York City Police Department,3058620046,BROOKLYN,,,BROOKLYN,2020-03-23T02:15:22.000,10 BROOKLYN,Drinking,2020-03-23T00:25:33.000,68 STREET,BAY RIDGE AVENUE,After Hours - Licensed Est,,,6810 3 AVENUE,11220,68 STREET,BAY RIDGE AVENUE,3 AVENUE,40.636336600542684,"{'type': 'Point', 'coordinates': [-74.02580837088684, 40.636336600542684]}",,,,Club/Bar/Restaurant,,-74.02580837088684,ONLINE,BROOKLYN,Unspecified,2020-03-23T02:14:00.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,3 AVENUE,,,45875324,977087,171112
40,,NYPD,New York City Police Department,3052400001,BROOKLYN,,,BROOKLYN,2020-03-23T05:43:27.000,14 BROOKLYN,Noise - Residential,2020-03-23T00:27:46.000,FARRAGUT ROAD,GLENWOOD ROAD,Banging/Pounding,,,1198 OCEAN AVENUE,11230,FARRAGUT ROAD,GLENWOOD ROAD,OCEAN AVENUE,40.6333673994245,"{'type': 'Point', 'coordinates': [-73.9578466408213, 40.6333673994245]}",,,,Residential Building/House,,-73.9578466408213,ONLINE,BROOKLYN,Unspecified,2020-03-23T09:43:29.000,The Police Department responded to the complaint and took action to fix the condition.,,Closed,OCEAN AVENUE,,,45878773,995950,170032
41,ADDRESS,DSNY,BCC - Brooklyn North,3027777501,BROOKLYN,,,BROOKLYN,2020-03-25T12:00:00.000,01 BROOKLYN,Missed Collection (All Materials),2020-03-23T00:29:00.000,POWERS STREET,AINSLIE STREET,1R Missed Recycling-All Materials,,DSNY Garage,319 HUMBOLDT STREET,11211,,,,40.71297293924359,"{'type': 'Point', 'coordinates': [-73.9424334262589, 40.71297293924359]}",,,,Sidewalk,,-73.9424334262589,ONLINE,BROOKLYN,Unspecified,2020-03-25T12:00:00.000,The Department of Sanitation investigated this complaint and found no condition at the location.,,Closed,HUMBOLDT STREET,,,45880175,1000209,199037
42,ADDRESS,DOB,Department of Buildings,2044560078,BRONX,,,BRONX,2020-03-23T00:29:19.000,11 BRONX,Building/Use,2020-03-23T00:29:19.000,,,Illegal Conversion Of Residential Building/Space,,,2507 YATES AVENUE,10469,,,,40.863397875355155,"{'type': 'Point', 'coordinates': [-73.85484511688473, 40.863397875355155]}",,,,,,-73.85484511688473,UNKNOWN,BRONX,Unspecified,2020-03-23T00:00:00.000,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,,Open,YATES AVENUE,,,45884746,1024400,253870
