url,time,level,Date,Location,Result,name,parent,Belligerents.allies,Belligerents.axis,Commanders and leaders.allies,Commanders and leaders.axis,Strength.allies,Strength.axis,Casualties and losses.allies,Casualties and losses.axis
https://en.wikipedia.org/wiki/Naval_Battle_of_Casablanca,,1,8–16 November 1942,"off Casablanca, French Morocco, Atlantic Ocean",American victory,Naval Battle of Casablanca,Battle of the Atlantic,United States,Vichy France   Nazi Germany,Henry Kent Hewitt,Félix Michelier   Ernst Kals,1  aircraft carrier 1  escort carrier 1  battleship 3  heavy cruisers 1  light cruiser 14  destroyers 15  troopships 347  landing craft unknown  aircraft,Vichy France: 1 battleship (partially armed) 1 light cruiser 2  flotilla leaders 7 destroyers 8  sloops 11  minesweepers 11  submarines unknown aircraft unknown  shore batteries Germany: ~2 submarines unknown aircraft,4 troopships sunk ~150 landing craft sunk 4–5 aircraft destroyed 1 battleship damaged 1 heavy cruiser damaged 2 destroyers damaged 1 oiler damaged ~174 killed unknown wounded,1 battleship sunk  1 light cruiser grounded and burnt out 4 destroyers sunk 5 submarines sunk 7 aircraft destroyed  shore batteries destroyed 1 battleship damaged unknown destroyers damaged 2 submarines damaged 1 destroyer grounded 2 flotilla leaders grounded 1 submarine grounded ~462 killed ~200 wounded  1 submarine sunk unknown human losses
https://en.wikipedia.org/wiki/Battle_of_the_Barents_Sea,,1,31 December 1942,"Barents Sea, north of North CapeNorway73°15′N 29°00′E﻿ / ﻿73.25°N 29°E﻿ / 73.25; 29Coordinates: 73°15′N 29°00′E﻿ / ﻿73.25°N 29°E﻿ / 73.25; 29",British victory,Battle of the Barents Sea,Battle of the Atlantic,United Kingdom,Germany,Robert Burnett   Robert St Vincent Sherbrooke   ( WIA ),Oskar Kummetz,2 light cruisers (after 3 hours)  6 destroyers 2 corvettes 1 minesweeper 2  trawlers,2 heavy cruisers 6 destroyers,1 destroyer sunk 1 destroyer damaged 1 minesweeper sunk 250 killed,1 cruiser damaged 1 destroyer sunk 330 killed
https://en.wikipedia.org/wiki/Battle_of_the_North_Cape,,1,26 December 1943,"Off North Cape, Norway",Allied victory,Battle of the North Cape,Battle of the Atlantic,Germany,United Kingdom   Norway   Canada,Erich Bey   †,Bruce Fraser,1 battleship,1 battleship 1 heavy cruiser 3 light cruisers 9 destroyers,"1 battleship sunk 1,932 killed 36 captured",1 battleship slightly damaged 1 heavy cruiser damaged 1 destroyer damaged 21 killed 11 wounded
https://en.wikipedia.org/wiki/Battle_of_the_Bay_of_Biscay,,2,28 December 1943,"Bay of Biscay, Atlantic",British victory,Battle of the Bay of Biscay,Operation Stonewall,United Kingdom,Germany,Charles Clark   Harold Grant,Franz Kohlauf   Hans Erdmenger   †,2 light cruisers,5 destroyers 6 torpedo boats 1 aircraft,2 killed 1 cruiser damaged,532 killed & wounded 1 destroyer sunk 2 torpedo boats sunk 1 torpedo boat damaged [1]
https://en.wikipedia.org/wiki/Operation_Teardrop,,1,April–May 1945,North Atlantic Ocean,Allied victory,Operation Teardrop,Battle of the Atlantic,Nazi Germany,United States   Canada,Eberhard Godt,Jonas H. Ingram,11 submarines,42 destroyers 4 escort carriers,Casualties: 218 killed 33 captured [1] Losses: 5 submarines sunk,Casualties: 126 killed   Losses: 1 destroyer sunk
https://en.wikipedia.org/wiki/Action_of_13_May_1944,,1,13 May 1944,"off Cape Verde Islands, Atlantic Ocean",United States victory,Action of 13 May 1944,Battle of the Atlantic,United States,Japan,John E. Johansen,Norita Sadatoshi,1  destroyer escort,1  submarine,none,52 killed 1 submarine sunk
https://en.wikipedia.org/wiki/Battle_of_Ushant_(1944),,1,9 June 1944,English Channel,Allied victory,Battle of Ushant,Battle of the Atlantic,United Kingdom     Canada     Poland,Nazi Germany,Basil Jones,Theodor von Bechtolsheim,8 destroyers,"3 destroyers, 1 torpedo boat",1 ship damaged,1 destroyer scuttled 1 destroyer sunk 140 prisoners 39 dead
https://en.wikipedia.org/wiki/Battle_of_Pierres_Noires,,1,5 July 1944,"Iroise Sea, near Pierres Noires lighthouseCoordinates: 48°12′42″N 4°54′53″W﻿ / ﻿48.21167°N 4.91472°W﻿ / 48.21167; -4.91472",Allied victory,Battle of Pierres Noires,Battle of the Atlantic,Canada,Nazi Germany,Dickson Carlile Wallace,Gerhard Palmgren,4 destroyers,4  patrol boats 1 U-boat,,1 patrol boat sunk 1 patrol boat damaged
https://en.wikipedia.org/wiki/Action_of_9_February_1945,,1,9 February 1945 (1945-02-09),"off Fedje, Norway",British victory,Action of 9 February 1945,Battle of the Atlantic,United Kingdom,Germany,Commander   Jimmy Launders,Korvettenkapitän   Ralf-Reimar Wolfram   †,V-class submarine   HMS  Venturer,"Type IX   U-boat ,  U-864",None,"Submarine sunk, All 73 crew killed"
https://en.wikipedia.org/wiki/Battle_of_Point_Judith,,1,"May 5–6, 1945","off Point Judith, Rhode Island",United States victory,Battle of Point Judith,Battle of the Atlantic,United States,Nazi Germany,,,Sea 1  destroyer 2  destroyer escorts 1  frigate 1  collier Air: 2  blimps,1  U-boat,12 killed 1 collier sunk,55 killed U-853 U-boat
