url,time,level,Date,Location,Result,name,parent,Belligerents.allies,Belligerents.axis,Commanders and leaders.allies,Commanders and leaders.axis,Strength.allies,Strength.axis,Casualties and losses.allies,Casualties and losses.axis,Territorialchanges
https://en.wikipedia.org/wiki/Battle_of_Tarakan_(1942),,2,"January 11–12, 1942","Tarakan Island, Northeast of Borneo Island",Japanese victory,Battle of Tarakan (1942),Battle of Borneo (1941–42),Netherlands,Japan,Simon de Waal   Anthonie van Versendaal  †,Shizuo Sakaguchi Shoji Nishimura,"1,365 [1]","6,600",ca. 300 killed [2] 871 captured [3] 215 executed 1 minelayer sunk,255 killed 2 minesweeper sunk,
https://en.wikipedia.org/wiki/Battle_of_Balikpapan_(1942),,2,23–24 January 1942,"Balikpapan, Borneo",Japanese land victoryAllied tactical naval victory,Battle of Balikpapan (1942),Battle of Borneo (1941–42),Netherlands   United States,Japan,Cornelis van den Hoogenband   William A. Glassford [1]  Paul H. Talbot,Shizuo Sakaguchi [2]   Shoji Nishimura [3],"1,100 infantry 4 destroyers 1 submarine 29 aircraft","5,500 infantry 1,100 naval infantry 3 patrol boats 12 transport ships",unknown 1 destroyer lightly damaged 1 submarine heavily damaged,unknown 50+ naval casualties 1 patrol boat sunk 6 transports sunk,
https://en.wikipedia.org/wiki/Battle_of_Manado,(1942),1,11–12 January 1942  (Last guerrilla pocket captured 9 August 1942),"Manado, Celebes Island",Japanese victory,Battle of Manado,Japanese occupation of Dutch East Indies,Netherlands,Japan,B.F.A. Schilmöller    (surrendered 23 March),Raizō Tanaka  Kunizō Mori     Toyoaki Horiuchi,"1,500 infantry","3,200 naval infantry [1] 507 paratroopers [2]",140 killed 48 captured,44 killed [3] 186-244 wounded [4],
https://en.wikipedia.org/wiki/Battle_of_Ambon,(1942),1,30 January – 3 February 1942,"Ambon, Moluccas, Netherlands East Indies",Japanese victory,Battle of Ambon,Japanese occupation of Dutch East Indies,Netherlands   Australia   United States,Japan,Joseph Kapitz,Ibo Takahashi (naval forces)   Takeo Ito (land forces),"3,900 4 field guns  (75mm) 4 anti-tank guns  (37mm) 4 AA guns  (75mm) 4 AA guns  (40mm) 1 minesweeper 2 fighters","5,300 2 aircraft carriers 2 heavy cruisers 1 light cruiser 15 destroyers 2 seaplane tenders 5 minesweepers 4 submarine chasers 2 patrol boats 10 aircraft",Netherlands : unknown 2 fighters shot down Australia : 15 killed 35 wounded United States : unknown,55 killed 135 wounded 1 minesweeper sunk 2 minesweepers damaged,
https://en.wikipedia.org/wiki/Battle_of_Makassar_Strait,(1942),1,4 February 1942,"Java Sea, Dutch East Indies",Japanese victory,Battle of Makassar Strait,Japanese occupation of Dutch East Indies,Netherlands   United States,Japan,Karel Doorman,Nishizō Tsukahara,4 cruisers 7 destroyers,37–45 planes (Allied estimate) 60 land based bombers (Japanese reports),70 sailors killed 2 cruisers damaged,4+ planes destroyed,
https://en.wikipedia.org/wiki/Battle_of_Palembang,(1942),1,13–15 February 1942,"Palembang, southern part of Sumatra island",Japanese victory,Battle of Palembang,Japanese occupation of Dutch East Indies,United Kingdom       Netherlands       Australia       New Zealand,Japan,L.N.W. Vogelesang   Karel Doorman   Henry Hunter   Stanley Vincent,Jisaburo Ozawa Yoshisaburô Tanaka Seiichi Kume,"2,000 infantry   50 aircraft","3,000 amphibious force  350 paratroopers 3 squadrons transports 1 bomber group 2 fighter groups",,,
https://en.wikipedia.org/wiki/Battle_of_Badung_Strait,(1942),1,18–20 February 1942,Badung Strait off Bali in the Dutch East Indies,Japanese victory,Battle of Badung Strait,Japanese occupation of Dutch East Indies,Netherlands   United States   United Kingdom,Japan,Karel Doorman [1],Kyuji Kubo [2],3 cruisers 7 destroyers 2 submarines 20 aircraft,4 destroyers 2 transports,1 cruiser damaged 1 destroyer sunk 1 destroyer damaged and — later scuttled —,25 killed 83 wounded 3 destroyers damaged 1 transport damaged,
https://en.wikipedia.org/wiki/Battle_of_Timor_(1942%E2%80%9343),,1,19 February 1942 – 10 February 1943,Dutch Timor and Portuguese Timor (present-day East Timor),Japanese victory,Battle of Timor (1942–43),Japanese occupation of Dutch East Indies,Australia   Netherlands   United Kingdom   United States   Portugal,Japan  Timorese and Javanese volunteers (Black Columns),William Leggatt   William Veale   Alexander Spence   Bernard Callinan   Nico van Straten   Dom Aleixo,Sadashichi Doi (invasion)   Yuitsu Tsuchihashi (later campaign),"~ 2,050 strong garrison (peak February 1942) ~ 1,000 commandos (peak October 1942)","~ 12,000 (peak late 1942)",Netherlands: ~ 300 dead Australia: 151 dead (Sparrow Force) Portugal: ~ 75 dead United Kingdom: 5 dead  ( The Sparrows ) [1],"~ 4,000 dead  (West & East Timor)",
https://en.wikipedia.org/wiki/Battle_of_the_Java_Sea,(1942),1,27 February 1942,Java Sea,Decisive Japanese victory,Battle of the Java Sea,Japanese occupation of Dutch East Indies,Netherlands   United States   United Kingdom   Australia,Japan,Karel Doorman   †     Conrad Helfrich [1],Takeo Takagi [2],2 heavy cruisers 3 light cruisers 9 destroyers,2 heavy cruisers 2 light cruisers 14 destroyers 10 transports,"2 light cruisers sunk 3 destroyers sunk 1 heavy cruiser damaged 2,300 sailors killed",3 destroyers damaged 1 light cruiser damaged 36 sailors killed,
https://en.wikipedia.org/wiki/Battle_of_Sunda_Strait,(1942),1,28 February – 1 March 1942,"Sunda Strait, Dutch East Indies",Japanese victory,Battle of Sunda Strait,Japanese occupation of Dutch East Indies,United States   Australia   Netherlands,Japan,Hector Waller   †   Albert H. Rooks   †,Kenzaburo Hara [1]   Takeo Kurita [2],American: 1 heavy cruiser Australian: 1 light cruiser Dutch: 1 destroyer,1  light carrier 1  seaplane carrier 5  cruisers 12  destroyers 1  minelayer 58  troopships,"1 heavy cruiser sunk 1 light cruiser sunk 1 destroyer sunk 1,071 killed 675 POWs [3]","1 minelayer sunk, 4 troopships sunk or grounded, [3]   1 cruiser damaged,  3 destroyers damaged 10 killed, 37 wounded [4]",
https://en.wikipedia.org/wiki/Battle_of_Java_(1942),,1,28 February – 12 March 1942,"Java, Dutch East Indies",Japanese victory,Battle of Java (1942),Japanese occupation of Dutch East Indies,Netherlands   United Kingdom   Australia   United States,Japan,Hein ter Poorten,Hitoshi Imamura [1],"25,000  5,500  3,000  750 
 
 Total : 34,250","34,000 troops","Netherlands : unknown Great Britain : unknown Australia : 36 killed 60 wounded United States : 825 killed 1,067 captured (US Army: 24 killed, 534 captured. US Navy: 801 killed, 369 captured. 165 prisoners later died in captivity.)",unknown,
https://en.wikipedia.org/wiki/Second_Battle_of_the_Java_Sea,(1942),1,1 March 1942,Java Sea,Japanese victory,Second Battle of the Java Sea,Japanese occupation of Dutch East Indies,United Kingdom     United States,Japan,Oliver Gordon,Takeo Takagi   Ibo Takahashi,1 heavy cruiser 2 destroyers,4 heavy cruisers 5 destroyers,1 heavy cruiser sunk 2 destroyers sunk 800 captured,1 destroyer heavily damaged,
https://en.wikipedia.org/wiki/Battle_of_Rabaul_(1942),", January–February 1942",0,23 January – February 1942,"Rabaul, New BritainTerritory of New Guinea",Japanese victory,Japanese Invasion of Rabaul,Pacific Theatre,Australia,Japan,John Scanlan,Shigeyoshi Inoue   Tomitaro Horii,"1,400 soldiers  (New Britain) 130 soldiers  (New Ireland)","5,000 soldiers  (New Britain)","6 aircrew killed 5 aircrew wounded 28 soldiers killed 1,000 soldiers captured",16 killed 49 wounded,
https://en.wikipedia.org/wiki/Bombing_of_Darwin,February 1942,1,19 February 1942,"Darwin, Northern Territory, Australia",Japanese victory,Battle of Darwin,Japanese attacks on Australia,Australia   United States,Japan,David V. J. Blake   Frederick Scherger,Chuichi Nagumo     Mitsuo Fuchida,31 aircraft 18 antiaircraft guns 1 destroyer 1 seaplane tender 2 sloops 4 minesweepers/corvettes 4 boom defence vessels 9 merchant ships/transports 1 hospital ship 23 auxiliary vessels 12 pearling luggers,242 aircraft (188 carrier-based aircraft; 54 land-based medium bomber aircraft) 4 aircraft carriers 2 heavy cruisers 1 light cruiser 7 destroyers 3 submarines,236 killed [1] [2] 300–400 wounded 30 aircraft destroyed [1] 11 vessels sunk 3 vessels grounded 25 ships damaged,2 killed [3] 1 POW 34 carrier aircraft damaged [1],
https://en.wikipedia.org/wiki/Attack_on_Broome,March 1942,1,3 March 1942,"Broome, Australia",Japanese victory,Attack on Broome,Japanese attacks on Australia,Australia   Netherlands   United States   United Kingdom,Japan,Clifford Gibson,Zenjiro Miyano,22 aircraft,10 aircraft,88 killed (official toll) 22 aircraft destroyed,1 killed (official toll) 2 aircraft destroyed,
https://en.wikipedia.org/wiki/Attack_on_Sydney_Harbour,May – June 1942,1,31 May – 8 June 1942,"Sydney Harbour, Sydney, New South Wales, Australia",Indecisive,Attack on Sydney Harbour,Japanese attacks on Australia,Australia   United States   United Kingdom   Netherlands   British India,Japan,Gerard Muirhead-Gould,Hankyu Sasaki,"2 heavy cruisers, 1 light cruiser, 2 armed merchant cruisers, 2 destroyers, 3 corvettes, 1 submarine, 2 anti-submarine vessels, 6 channel patrol boats","5 fleet submarines, 3 midget submarines, 2 seaplanes","1 depot ship sunk, 21 killed, 10 wounded [1]","2 midget submarines sunk, 1 midget submarine scuttled, 2 spotter planes lost, 6 killed",
https://en.wikipedia.org/wiki/Raid_on_Darwin_(2_May_1943),May 1943,1,2 May 1943,"Darwin, Northern Territory",Indecisive,Raid on Darwin,Japanese attacks on Australia,Japan,Australia   United Kingdom,Suzuki Minoru,Clive Caldwell,27  Zero  fighters 25 bombers,33  Spitfire  fighters Darwin anti-aircraft guns,6-10 aircraft destroyed 8 aircraft damaged,2 pilots killed 1 soldier killed 14 Spitfires destroyed or damaged Minor damage to buildings,
https://en.wikipedia.org/wiki/Invasion_of_Salamaua%E2%80%93Lae,", March 1942",0,8–13 March 1942,"Salamaua–Lae area, Morobe Province, Territory of New Guinea",Japanese forces successfully occupied Salamaua–Lae,Japanese Invasion of Salamaua-Lae,Pacific Theatre,Australia   United States,Japan,Wilson Brown,Shigeyoshi Inoue,2 aircraft carriers 104 aircraft,4 heavy cruiser 2 light cruiser 8 destroyers 1 minesweeper 1 minelayer 4 transport ships,1 aircraft destroyed 11 aircraft damaged  2 killed,3 transport ships sunk 1 minesweeper sunk 1 light cruiser 2 destroyers 1 minelayer 1 seaplane tender 1 transport damaged 130 killed  [1],
https://en.wikipedia.org/wiki/Invasion_of_Tulagi_(May_1942),", May 1942",0,3–4 May 1942,"Tulagi and Gavutu Islands, Solomon Islands",Japanese victory,Japanese Invasion of Tulagi,Pacific Theatre,Allied  forces including:   United States   Australia   United Kingdom,Japan,William Sydney Marchant  (land)   Frank Jack Fletcher  (naval),Isoroku Yamamoto   Shigeyoshi Inoue   Aritomo Goto   Kiyohide Shima,"1  aircraft carrier , 3  cruisers , 4  destroyers , 58 aircraft [1]","2 destroyers, 5  minesweepers , 2 minelayers, 1 transport ship, 2 subchasers, 6 aircraft, 400–500 troops [2] [3] [4]",4 aircraft destroyed [5] [6] [7] [8],"1 destroyer, 3 minesweepers sunk, 2 minelayers, 1 destroyer damaged, 1 transport damaged, 5–6 aircraft destroyed, 87 killed [9] [10]",Japanese forces occupied Tulagi and nearby islands.
https://en.wikipedia.org/wiki/Battle_of_the_Coral_Sea,", May 1942",0,4–8 May 1942,"Coral Sea, between Australia, New Guinea, and the Solomon Islands",Both sides claim victory; see Significance,Battle of the Coral Sea,Pacific Theatre,United States   Australia,Japan,Chester W. Nimitz   Frank J. Fletcher   Thomas C. Kinkaid   Aubrey Fitch   George Brett   Douglas MacArthur   John Crace,Isoroku Yamamoto   Shigeyoshi Inoue   Takeo Takagi   Kiyohide Shima   Aritomo Gotō   Chūichi Hara   Sadamichi Kajioka,"2  fleet carriers , 9  cruisers , 14  destroyers , 2  oilers , 128  carrier aircraft . [1]","2 fleet carriers, 1  light carrier , 9 cruisers, 15 destroyers, 5  minesweepers , 2  minelayers , 2  submarine chasers , 3  gunboats , 1 oiler, 1 seaplane tender, 12  transports , 139 carrier aircraft. [2]","1 fleet carrier  scuttled , 1 destroyer sunk, 1 oiler sunk, 1 fleet carrier damaged, 69 aircraft destroyed. [3] 656 killed [4]","1 light carrier sunk, 1 destroyer sunk, 3 small warships sunk, 1 fleet carrier damaged, 1 destroyer damaged, 1 smaller warship damaged, 1 transport damaged, 69 - 97 aircraft destroyed. [5] 966 killed [6]",
https://en.wikipedia.org/wiki/Invasion_of_Buna-Gona,", July 1942",0,21–27 July 1942,"Buna–Gona area, Oro Province, Territory of PapuaCoordinates: 8°39′S 148°22′E﻿ / ﻿8.650°S 148.367°E﻿ / -8.650; 148.367",Japanese victory,Japanese Invasion of Buna-Gona,Pacific Theatre,Australia   United States,Japan,Basil Morris,Harukichi Hyakutake,~ 100,"4,057",6 killed,1 transport ship sunk 1 transport ship damaged 1 destroyer damaged,
https://en.wikipedia.org/wiki/Kokoda_Track_campaign,", July–November 1942",0,21 July – 16 November 1942,Territory of Papua,Allied victory,Kokoda Track campaign,Pacific Theatre,Australia   United States,Japan,Douglas MacArthur   Thomas Blamey   Sydney Rowell   Edmund Herring   Arthur Allen   George Vasey,Harukichi Hyakutake   Tomitarō Horii,"30,000  [1]","13,500 [2]","625 killed 1,055 wounded 4,000+ sick  [3]","~ 2,050 [4] [notes 1] ~ 4,500 including sick. [5] [notes 2]",
https://en.wikipedia.org/wiki/Battle_of_Milne_Bay,", August–September 1942",0,25 August 1942 (1942-08-25) – 7 September 1942 (1942-09-07),"Milne Bay, Territory of Papua",Allied victory,Battle of Milne Bay,Pacific Theatre,"Australia 
   United States",Japan,Cyril Clowes,"Gunichi Mikawa 
 Masajiro Hayashi 
 Minoru Yano","8,824 [1]","1,943 [2]","Australia : 
 167 killed or missing 
 206 wounded [3] 
 
 United States : 
 14 killed [3]","625 killed [4] 
 311 wounded [2]",
https://en.wikipedia.org/wiki/Battle_of_Tulagi_and_Gavutu%E2%80%93Tanambogo,", August 1942",1,7–9 August 1942,Tulagi and Gavutu in the Solomon Islands,Allied victory,Battle of Tulagi and Gavutu–Tanambogo,Guadalcanal Campaign,"United States   United Kingdom 
 
   British Solomon Islands",Japan,Alexander Vandegrift     William H. Rupertus       Gerald C. Thomas,Sadayoshi Yamada       Shigetoshi Miyazaki   † [1],"3,000 [2]",886 [3],"122 killed, 200 wounded  [4]","863 killed, 20 captured [5]",
https://en.wikipedia.org/wiki/Battle_of_Savo_Island,", August 1942",1,"August 8–9, 1942","Vicinity of Savo Island, Solomon Islands9°8′0″S 159°49′0″E﻿ / ﻿9.13333°S 159.81667°E﻿ / -9.13333; 159.81667﻿ (Savo Island)Coordinates: 9°8′0″S 159°49′0″E﻿ / ﻿9.13333°S 159.81667°E﻿ / -9.13333; 159.81667﻿ (Savo Island)",Japanese victory,Battle of Savo Island,Guadalcanal Campaign,United States   Australia,Japan,Richmond K. Turner   Victor Crutchley,Gunichi Mikawa,"6  heavy cruisers , 2  light cruisers , 15  destroyers [1] : 100–1","5  heavy cruisers , 2  light cruisers , 1 destroyer [1] : 100","3  heavy cruisers  sunk, 1  heavy cruiser  heavily damaged (later scuttled), 2 destroyers damaged, 1,077 killed [1] : 121 [2]","3 cruisers lightly damaged, 129 killed [1] : 117 [3]",
https://en.wikipedia.org/wiki/Makin_Island_raid,", August 1942",1,17–18 August 1942,Butaritari (Makin Island) in the Pacific Ocean,US tactical victory,Makin Island raid,Guadalcanal Campaign,United States,Japan,Chester Nimitz   Evans Carlson,Kōsō Abe  Kyuzaburou Kanemitsu  †,211  (from the  2nd Marine Raider Battalion ) 2 submarines,2 officers 69 other ranks 2 civilians attached 13 aircraft [ citation needed ] 3 small ships,28 killed 17 wounded 9 captured  (executed later) 2 missing,46 killed 2 flying boats destroyed 2 small boats sunk [1],
https://en.wikipedia.org/wiki/Battle_of_the_Tenaru,August 1942,1,"August 21, 1942",Guadalcanal in the Solomon Islands,Allied victory,Battle of the Tenaru,Guadalcanal Campaign,"United States   United Kingdom 
 
   British Solomon Islands",Japan,Alexander Vandegrift     Clifton B. Cates,Harukichi Hyakutake     Kiyonao Ichiki    †,"3,000 [1]",917 [2],41–44 killed [3] [4],"774–777 killed, 15 captured [5] [6]",
https://en.wikipedia.org/wiki/Battle_of_the_Eastern_Solomons,", August 1942",1,24–25 August 1942,"North of Santa Isabel, Solomon Islands",American victory,Battle of the Eastern Solomons,Guadalcanal Campaign,United States,Japan,Frank Jack Fletcher   Thomas C. Kinkaid,Nobutake Kondō   Chūichi Nagumo   Hiroaki Abe   Chūichi Hara,"2  fleet carriers 
 1  battleship 
 4  cruisers 
 11  destroyers 
 176  aircraft [1]","2 fleet carriers 
 1  light carrier 
 3 battleships 
 16 cruisers 
 25 destroyers 
 1  seaplane tender 
 4  patrol boats 
 3  transports 
 171–177 aircraft [2]","1 fleet carrier heavily damaged 
 20 aircraft destroyed 
 90 killed [3]","1 light carrier sunk 
 1 destroyer 
 1 transport sunk 
 1 light cruiser 
 1 seaplane tender heavily damaged 
 75 aircraft destroyed 
 290+ killed [4]",
https://en.wikipedia.org/wiki/Battle_of_Edson%27s_Ridge,September 1942,1,12–14 September 1942,"Guadalcanal, Solomon Islands",Allied victory,Battle of Edson's Ridge,Guadalcanal Campaign,"United States     United Kingdom 
 
   British Solomon Islands",Japan,Alexander Vandegrift     Merritt A. Edson,Harukichi Hyakutake     Kiyotake Kawaguchi,"12,500 [1]","6,217 [2]",59 killed or missing 204 wounded,700–850 killed [3] ~500 wounded,
https://en.wikipedia.org/wiki/Actions_along_the_Matanikau,September–October 1942,1,23–27 September and 6–9 October 1942,"Guadalcanal, Solomon Islands",September action: Japanese victory;October action: United States victory,Actions along the Matanikau,Guadalcanal Campaign,United States,Japan,Alexander Vandegrift Amor L. Sims Merritt A. Edson Chesty Puller Samuel B. Griffith Herman H. Hanneken,Harukichi Hyakutake Kiyotake Kawaguchi Akinosuke Oka Masao Maruyama Yumio Nasu,"3,000 [1]","2,000 [2] [3] [4]",156 killed [5],750 killed [6],
